cust_id,gender,religion,employment,postal_code,number_client_calls_to_BANK,cat_number_client_calls_from_BANK,age,relationship_length
44,F,J,Unemployed,30,2,0,33.0,1.0
45,M,C,Public Sector,60,0,0,41.0,2.0
46,M,U,Private Sector,80,1,0,39.0,1.0
47,M,J,Public Sector,30,4,0,47.0,2.0
48,M,C,Private Sector,60,1,0,35.0,0.0
49,F,O,Public Sector,30,0,5,32.0,3.0
50,M,C,Public Sector,10,2,4,32.0,2.0
51,M,U,Unemployed,10,3,2,32.0,3.0
52,F,U,Self-employed,10,0,4,38.0,1.0
53,M,O,Private Sector,50,0,4,,
54,M,U,Private Sector,50,0,0,26.0,1.0
55,F,C,Public Sector,30,5,1,32.0,3.0
56,F,U,Self-employed,30,2,1,36.0,3.0
57,M,U,Unemployed,40,0,0,28.0,2.0
58,M,C,Private Sector,10,0,0,33.0,1.0
59,M,M,Private Sector,10,0,1,34.0,3.0
60,F,O,Unemployed,30,0,0,42.0,1.0
61,M,C,Unemployed,30,1,0,41.0,2.0
62,M,J,Unemployed,20,0,0,39.0,3.0
63,M,O,Self-employed,20,1,0,33.0,1.0
64,M,C,Private Sector,80,5,0,32.0,2.0
65,M,M,Unemployed,20,1,0,23.0,2.0
66,M,C,Private Sector,40,0,0,43.0,1.0
67,F,U,Public Sector,10,1,0,35.0,0.0
68,M,J,Unemployed,10,2,5,,
69,M,M,Private Sector,20,0,1,22.0,2.0
70,M,U,Private Sector,30,3,0,43.0,3.0
71,M,U,Unemployed,70,5,3,33.0,2.0
73,F,J,Private Sector,50,1,0,34.0,1.0
74,F,C,Private Sector,50,1,2,20.0,0.0
75,M,O,Public Sector,80,0,4,42.0,3.0
76,M,U,Private Sector,20,0,2,31.0,3.0
77,F,M,Public Sector,80,0,2,38.0,2.0
78,M,M,Private Sector,40,0,0,33.0,2.0
79,M,U,Unemployed,40,2,5,32.0,1.0
80,F,C,Self-employed,10,3,0,39.0,1.0
81,M,U,Unemployed,30,0,0,26.0,3.0
82,M,M,Unemployed,50,0,0,35.0,2.0
83,M,U,Unemployed,60,4,0,30.0,1.0
84,M,U,Private Sector,70,0,0,29.0,1.0
85,M,U,Private Sector,10,3,0,35.0,3.0
86,M,M,Private Sector,40,0,5,35.0,3.0
87,F,U,Self-employed,40,0,0,38.0,3.0
88,M,C,Private Sector,60,0,2,48.0,1.0
89,M,U,Private Sector,10,5,1,35.0,1.0
90,F,C,Public Sector,20,0,1,35.0,0.0
91,F,U,Self-employed,30,5,1,35.0,3.0
92,M,C,Private Sector,80,4,0,31.0,1.0
93,M,U,Unemployed,10,1,0,,
94,F,C,Private Sector,50,3,1,34.0,0.0
95,M,O,Public Sector,30,2,0,37.0,4.0
96,F,J,Unemployed,30,3,1,31.0,1.0
97,F,U,Unemployed,80,5,0,28.0,0.0
98,M,J,Unemployed,30,1,5,34.0,1.0
99,M,O,Public Sector,30,0,5,29.0,1.0
100,F,U,Public Sector,20,0,0,33.0,1.0
101,F,M,Private Sector,60,3,5,29.0,1.0
102,M,U,Public Sector,10,0,2,32.0,1.0
103,M,U,Public Sector,20,0,0,38.0,1.0
104,M,C,Private Sector,70,0,0,34.0,0.0
105,M,U,Unemployed,20,0,1,37.0,2.0
106,M,M,Private Sector,30,1,0,30.0,3.0
107,M,U,Unemployed,30,0,0,,
108,M,M,Private Sector,50,3,0,28.0,1.0
109,F,O,Private Sector,50,0,2,40.0,3.0
110,F,C,Unemployed,40,0,4,36.0,1.0
111,M,U,Public Sector,30,3,5,34.0,1.0
112,M,U,Unemployed,20,0,0,,
113,F,C,Private Sector,20,0,4,28.0,1.0
114,M,U,Public Sector,40,3,2,31.0,2.0
115,M,J,Private Sector,50,3,1,32.0,3.0
116,F,C,Public Sector,30,0,0,25.0,1.0
117,F,U,Private Sector,10,0,0,40.0,1.0
118,M,U,Private Sector,60,0,0,34.0,3.0
119,F,U,Public Sector,60,4,0,43.0,0.0
120,M,U,Private Sector,30,0,1,28.0,3.0
121,F,M,Private Sector,80,0,2,37.0,2.0
122,M,J,Public Sector,10,0,5,,
123,M,C,Self-employed,30,0,0,28.0,2.0
124,M,C,Public Sector,60,1,0,34.0,1.0
125,M,O,Unemployed,20,1,1,48.0,1.0
126,M,O,Public Sector,20,0,0,36.0,1.0
127,F,C,Unemployed,30,0,1,36.0,1.0
128,F,J,Public Sector,80,3,0,35.0,3.0
129,M,U,Unemployed,60,2,0,,
130,M,C,Self-employed,80,0,3,25.0,2.0
131,M,J,Private Sector,20,0,5,,
132,M,J,Self-employed,20,0,0,27.0,1.0
133,F,U,Public Sector,30,5,0,,
134,F,C,Public Sector,60,0,2,36.0,3.0
135,M,O,Public Sector,60,0,0,33.0,0.0
136,M,U,Private Sector,30,3,0,31.0,2.0
137,M,C,Public Sector,20,3,1,32.0,3.0
138,M,C,Private Sector,60,0,0,28.0,1.0
139,M,O,Private Sector,30,0,0,27.0,3.0
140,F,M,Private Sector,50,0,2,47.0,1.0
141,M,U,Unemployed,10,0,1,,
142,M,O,Public Sector,80,0,0,34.0,1.0
143,M,C,Public Sector,60,0,0,,
144,F,U,Private Sector,20,2,1,42.0,1.0
145,F,U,Private Sector,50,1,0,32.0,2.0
146,M,C,Private Sector,30,0,0,,
147,M,C,Self-employed,10,4,3,38.0,1.0
148,F,U,Private Sector,40,2,4,38.0,2.0
149,M,M,Private Sector,30,0,0,33.0,0.0
150,M,C,Private Sector,50,1,0,30.0,3.0
151,M,C,Unemployed,70,2,0,30.0,2.0
152,M,C,Public Sector,40,0,0,23.0,1.0
153,F,U,Public Sector,40,0,1,34.0,2.0
154,F,M,Public Sector,10,2,4,29.0,1.0
155,M,C,Public Sector,40,5,2,34.0,1.0
156,F,C,Private Sector,50,3,0,42.0,1.0
157,M,U,Private Sector,30,0,5,34.0,0.0
158,M,C,Public Sector,60,0,0,24.0,2.0
159,M,C,Public Sector,70,5,5,,
160,F,U,Private Sector,10,0,1,36.0,1.0
161,F,C,Self-employed,40,0,0,35.0,4.0
162,M,J,Public Sector,20,0,4,45.0,1.0
163,M,O,Private Sector,10,5,0,37.0,3.0
164,M,J,Private Sector,20,3,0,31.0,3.0
165,M,C,Private Sector,10,1,0,,
166,M,J,Self-employed,10,0,4,25.0,2.0
167,M,O,Private Sector,60,3,0,40.0,1.0
168,F,C,Public Sector,10,0,1,34.0,1.0
169,F,O,Public Sector,10,1,1,23.0,3.0
170,F,C,Private Sector,10,1,0,40.0,1.0
171,M,U,Private Sector,60,3,0,41.0,2.0
172,M,U,Private Sector,10,2,1,27.0,3.0
173,F,C,Unemployed,10,2,0,32.0,3.0
174,M,U,Private Sector,30,5,0,48.0,4.0
175,M,J,Private Sector,10,0,0,47.0,3.0
176,M,U,Public Sector,30,0,0,43.0,1.0
177,F,C,Unemployed,30,1,0,38.0,3.0
178,M,U,Private Sector,30,2,0,40.0,0.0
179,M,U,Public Sector,40,1,4,27.0,1.0
180,F,U,Unemployed,10,0,0,38.0,2.0
181,M,U,Unemployed,10,3,0,44.0,3.0
182,M,M,Private Sector,30,0,0,41.0,3.0
183,F,C,Public Sector,10,1,0,48.0,1.0
184,M,M,Self-employed,50,3,1,36.0,2.0
185,M,C,Self-employed,40,0,1,32.0,4.0
186,M,C,Public Sector,20,3,5,40.0,3.0
187,M,C,Public Sector,30,0,0,32.0,3.0
188,M,U,Public Sector,20,0,1,38.0,0.0
189,M,U,Public Sector,30,0,0,33.0,0.0
190,M,C,Private Sector,40,0,1,33.0,3.0
191,M,C,Public Sector,10,0,0,30.0,0.0
192,F,M,Unemployed,30,0,2,40.0,1.0
193,M,C,Private Sector,20,5,5,27.0,2.0
194,M,O,Public Sector,30,1,2,31.0,4.0
195,M,C,Self-employed,80,1,5,27.0,2.0
196,F,U,Unemployed,30,0,0,27.0,4.0
197,M,C,Self-employed,30,5,0,31.0,2.0
198,M,C,Unemployed,50,5,0,42.0,3.0
199,M,U,Public Sector,30,0,0,32.0,3.0
200,F,C,Public Sector,30,1,1,39.0,1.0
201,M,U,Public Sector,40,0,0,32.0,1.0
202,M,U,Private Sector,50,3,4,,
203,M,U,Self-employed,40,0,0,32.0,1.0
204,M,J,Unemployed,80,0,0,47.0,1.0
205,M,C,Private Sector,10,0,0,41.0,3.0
206,M,U,Private Sector,10,3,0,48.0,2.0
207,F,C,Self-employed,40,1,0,45.0,3.0
208,F,U,Unemployed,70,5,0,31.0,0.0
209,F,U,Public Sector,60,5,0,,
210,F,U,Private Sector,20,2,4,33.0,2.0
211,F,C,Public Sector,70,0,0,38.0,2.0
212,M,U,Public Sector,30,1,0,41.0,2.0
213,M,U,Private Sector,30,0,2,,
214,M,O,Public Sector,70,5,0,35.0,2.0
215,M,U,Public Sector,10,1,0,34.0,2.0
216,M,U,Private Sector,80,3,4,26.0,3.0
217,M,U,Unemployed,40,0,1,36.0,2.0
218,M,J,Private Sector,60,1,5,27.0,1.0
219,M,O,Private Sector,30,4,2,43.0,0.0
220,M,O,Public Sector,50,0,1,,
221,F,C,Private Sector,40,0,0,37.0,1.0
222,M,J,Public Sector,80,2,0,27.0,3.0
223,M,C,Public Sector,10,0,1,26.0,4.0
224,M,U,Private Sector,50,2,2,38.0,3.0
225,M,M,Unemployed,30,4,0,45.0,3.0
226,M,O,Self-employed,30,1,0,40.0,1.0
227,F,C,Private Sector,10,5,1,39.0,3.0
228,M,M,Public Sector,40,0,4,,
229,F,M,Public Sector,10,1,2,39.0,0.0
230,M,J,Private Sector,30,3,0,32.0,2.0
231,F,U,Private Sector,10,0,4,29.0,0.0
232,M,U,Public Sector,60,5,0,34.0,0.0
233,M,M,Unemployed,50,0,5,32.0,2.0
234,M,U,Private Sector,50,0,0,28.0,2.0
235,F,U,Private Sector,20,1,0,32.0,1.0
236,M,U,Self-employed,70,4,0,38.0,4.0
237,M,C,Unemployed,30,0,0,31.0,1.0
238,M,U,Private Sector,10,1,4,37.0,2.0
239,M,O,Unemployed,10,0,1,44.0,3.0
240,F,M,Public Sector,40,0,0,37.0,4.0
241,F,M,Private Sector,10,0,5,40.0,2.0
242,M,J,Public Sector,50,1,1,32.0,2.0
243,M,M,Unemployed,20,5,0,41.0,2.0
244,M,J,Public Sector,10,0,2,31.0,0.0
245,F,C,Public Sector,80,1,5,35.0,2.0
246,M,U,Public Sector,10,0,4,30.0,3.0
247,F,U,Public Sector,10,0,0,37.0,2.0
248,F,J,Private Sector,20,0,0,25.0,2.0
249,M,U,Self-employed,60,0,0,39.0,2.0
250,F,C,Public Sector,10,1,5,,
251,F,J,Unemployed,10,1,5,30.0,1.0
252,M,U,Unemployed,10,0,0,31.0,2.0
253,M,M,Public Sector,20,1,2,36.0,1.0
254,M,U,Private Sector,10,0,0,31.0,1.0
255,F,O,Unemployed,10,0,1,,
256,M,C,Self-employed,10,1,0,,
257,M,U,Public Sector,50,4,0,40.0,3.0
258,M,U,Public Sector,50,5,4,27.0,1.0
259,M,C,Private Sector,50,1,0,39.0,3.0
260,F,U,Public Sector,80,3,1,35.0,4.0
261,F,J,Public Sector,20,0,4,26.0,2.0
262,M,J,Public Sector,30,2,4,35.0,2.0
263,M,M,Public Sector,30,0,0,37.0,2.0
264,F,M,Unemployed,10,0,0,,
265,M,U,Private Sector,40,0,0,41.0,0.0
266,M,C,Self-employed,10,0,1,31.0,2.0
267,M,U,Unemployed,10,0,0,42.0,4.0
268,F,C,Unemployed,80,0,1,,
269,M,C,Public Sector,20,0,0,36.0,0.0
270,M,U,Unemployed,70,5,4,34.0,2.0
271,F,U,Self-employed,20,3,2,30.0,1.0
272,M,O,Public Sector,80,5,5,33.0,2.0
273,M,J,Public Sector,10,2,0,,
274,M,U,Self-employed,60,1,5,32.0,4.0
275,M,J,Public Sector,30,0,4,44.0,3.0
276,M,U,Unemployed,80,0,0,,
277,M,U,Public Sector,20,0,0,31.0,0.0
278,M,C,Unemployed,50,4,1,29.0,2.0
279,F,U,Self-employed,40,5,4,36.0,1.0
280,M,C,Private Sector,10,0,1,36.0,2.0
281,M,U,Unemployed,80,0,0,,
282,M,C,Public Sector,40,0,3,37.0,1.0
283,M,C,Private Sector,80,1,0,42.0,3.0
284,M,U,Public Sector,40,1,1,29.0,1.0
285,M,C,Private Sector,30,3,5,31.0,2.0
286,M,C,Self-employed,80,0,0,31.0,0.0
287,M,U,Private Sector,10,2,0,32.0,3.0
288,M,U,Unemployed,20,3,1,36.0,1.0
289,M,M,Private Sector,30,4,1,24.0,2.0
290,M,C,Private Sector,20,0,1,40.0,3.0
291,M,M,Public Sector,50,3,0,36.0,3.0
292,M,U,Public Sector,50,0,0,32.0,3.0
293,M,U,Private Sector,20,1,0,33.0,3.0
294,M,O,Public Sector,20,2,0,41.0,0.0
295,F,C,Public Sector,20,0,0,42.0,3.0
296,M,C,Unemployed,10,1,0,38.0,2.0
297,M,U,Public Sector,20,1,1,44.0,3.0
298,M,J,Self-employed,30,5,5,,
299,F,U,Private Sector,60,0,1,39.0,3.0
300,M,U,Private Sector,10,0,0,31.0,1.0
301,M,C,Public Sector,10,1,5,,
302,M,U,Public Sector,30,0,0,33.0,0.0
303,M,U,Private Sector,40,3,5,25.0,2.0
304,F,U,Private Sector,30,1,0,37.0,0.0
305,M,M,Private Sector,60,0,3,31.0,1.0
306,M,U,Private Sector,40,0,0,38.0,2.0
307,F,C,Private Sector,40,2,0,34.0,0.0
308,M,C,Public Sector,10,0,5,26.0,1.0
309,M,C,Unemployed,70,1,0,47.0,2.0
310,F,J,Public Sector,20,0,0,49.0,1.0
311,F,U,Public Sector,30,3,5,,
312,F,C,Public Sector,20,4,2,34.0,0.0
313,F,O,Private Sector,10,0,0,37.0,3.0
314,M,J,Public Sector,70,0,0,24.0,0.0
315,M,J,Private Sector,50,2,2,32.0,4.0
316,F,U,Unemployed,80,3,5,36.0,1.0
317,M,C,Private Sector,80,4,0,36.0,2.0
318,M,C,Private Sector,10,0,5,,
320,M,U,Unemployed,20,3,4,,
321,F,C,Private Sector,30,1,1,31.0,2.0
322,M,O,Unemployed,30,0,0,36.0,2.0
323,M,M,Self-employed,50,5,0,40.0,0.0
324,M,O,Private Sector,40,0,1,31.0,3.0
325,M,U,Private Sector,10,0,0,38.0,2.0
326,M,C,Self-employed,10,0,0,35.0,2.0
327,M,O,Public Sector,30,0,0,33.0,3.0
328,F,U,Private Sector,40,0,0,40.0,2.0
329,M,O,Public Sector,10,0,5,,
330,M,M,Private Sector,10,1,4,31.0,2.0
331,M,O,Self-employed,30,0,3,35.0,2.0
332,M,U,Unemployed,30,0,0,33.0,1.0
333,M,O,Private Sector,60,2,4,27.0,1.0
334,M,J,Unemployed,30,1,3,33.0,2.0
335,M,U,Private Sector,40,2,0,31.0,1.0
336,M,U,Private Sector,50,0,0,31.0,1.0
337,M,J,Private Sector,10,2,1,23.0,1.0
338,F,O,Public Sector,10,2,0,35.0,3.0
339,M,C,Unemployed,30,0,3,38.0,1.0
340,M,M,Public Sector,30,0,0,36.0,1.0
341,F,O,Public Sector,20,0,0,48.0,2.0
342,M,J,Unemployed,10,0,0,47.0,1.0
343,F,U,Private Sector,30,1,3,36.0,2.0
344,F,U,Private Sector,40,0,0,44.0,1.0
345,F,C,Unemployed,50,3,0,35.0,4.0
346,M,M,Public Sector,80,1,0,32.0,2.0
347,M,C,Unemployed,50,0,4,,
348,M,C,Public Sector,50,4,0,29.0,0.0
349,M,U,Private Sector,10,5,0,33.0,0.0
350,M,J,Public Sector,30,0,0,30.0,1.0
351,M,U,Private Sector,30,1,0,39.0,2.0
352,M,O,Private Sector,30,4,1,36.0,2.0
353,M,J,Self-employed,50,0,0,30.0,2.0
354,F,M,Unemployed,20,1,0,34.0,3.0
355,M,C,Private Sector,10,0,0,41.0,1.0
356,M,U,Unemployed,30,0,1,47.0,0.0
357,F,U,Private Sector,20,0,5,36.0,3.0
358,F,U,Unemployed,40,0,0,36.0,3.0
359,M,O,Self-employed,10,0,0,27.0,3.0
360,M,O,Public Sector,50,0,2,34.0,1.0
361,F,U,Self-employed,10,0,5,28.0,2.0
362,M,O,Private Sector,40,0,4,,
363,F,C,Private Sector,20,0,0,42.0,1.0
364,F,C,Private Sector,60,0,0,37.0,1.0
365,F,U,Public Sector,20,5,1,43.0,3.0
366,M,O,Unemployed,30,2,0,28.0,3.0
367,F,M,Public Sector,40,5,1,46.0,1.0
368,M,C,Self-employed,50,2,0,38.0,1.0
369,M,U,Public Sector,50,2,2,31.0,4.0
370,F,U,Private Sector,20,0,0,38.0,1.0
371,M,M,Private Sector,20,2,4,33.0,0.0
372,F,M,Private Sector,10,1,0,40.0,1.0
373,M,U,Unemployed,20,3,0,36.0,1.0
374,F,U,Unemployed,20,4,0,36.0,1.0
375,M,C,Public Sector,30,2,2,32.0,3.0
376,F,U,Unemployed,40,0,5,,
377,F,U,Private Sector,10,0,0,34.0,4.0
378,M,U,Private Sector,50,3,0,,
379,M,J,Private Sector,60,2,0,30.0,2.0
380,F,M,Private Sector,10,4,0,35.0,2.0
381,M,U,Unemployed,50,0,0,38.0,2.0
382,M,U,Public Sector,80,0,0,29.0,4.0
383,M,J,Private Sector,30,4,4,35.0,2.0
384,F,J,Private Sector,60,1,0,32.0,2.0
385,M,C,Public Sector,70,1,3,,
386,M,C,Private Sector,80,0,5,35.0,2.0
387,F,C,Public Sector,20,0,5,27.0,1.0
388,M,U,Public Sector,30,0,0,33.0,1.0
389,F,U,Private Sector,60,3,0,45.0,1.0
390,M,C,Self-employed,50,3,0,47.0,1.0
391,M,O,Public Sector,60,0,0,34.0,3.0
392,F,C,Public Sector,10,2,0,33.0,2.0
393,M,C,Private Sector,30,0,1,43.0,3.0
394,M,U,Public Sector,50,0,0,32.0,0.0
395,M,U,Private Sector,20,1,0,32.0,2.0
396,M,U,Public Sector,70,1,5,41.0,2.0
397,M,C,Private Sector,30,0,5,28.0,0.0
398,M,C,Unemployed,60,0,2,36.0,3.0
399,M,M,Private Sector,80,2,2,24.0,2.0
400,M,C,Public Sector,10,0,4,35.0,3.0
401,M,U,Private Sector,20,0,0,29.0,0.0
402,F,U,Self-employed,10,0,0,28.0,1.0
403,F,J,Private Sector,50,3,5,,
404,F,C,Self-employed,30,0,1,30.0,4.0
405,F,U,Private Sector,10,0,0,32.0,0.0
406,M,U,Private Sector,60,2,1,32.0,2.0
407,M,M,Self-employed,10,0,1,22.0,2.0
408,M,J,Private Sector,20,4,0,30.0,3.0
409,M,J,Self-employed,50,0,1,38.0,2.0
410,M,U,Unemployed,30,2,0,38.0,1.0
411,F,O,Public Sector,10,4,0,30.0,1.0
412,M,C,Private Sector,30,2,0,40.0,2.0
413,F,O,Private Sector,40,5,0,31.0,3.0
414,F,U,Unemployed,10,0,4,35.0,0.0
415,M,C,Private Sector,60,4,0,,
416,F,C,Private Sector,20,2,0,36.0,1.0
417,M,U,Private Sector,30,3,0,31.0,2.0
418,M,U,Unemployed,10,1,0,29.0,0.0
419,M,O,Public Sector,60,3,4,25.0,2.0
420,F,O,Public Sector,30,3,0,30.0,3.0
421,M,M,Private Sector,70,2,0,38.0,0.0
422,F,C,Private Sector,70,0,0,41.0,3.0
423,M,C,Public Sector,10,5,0,49.0,2.0
424,F,C,Private Sector,70,0,0,43.0,3.0
425,M,M,Unemployed,60,0,0,,
426,F,C,Public Sector,30,3,0,40.0,2.0
427,M,C,Self-employed,10,0,1,36.0,0.0
428,F,C,Private Sector,20,1,3,36.0,3.0
429,M,U,Unemployed,50,2,0,42.0,2.0
430,F,U,Private Sector,80,1,4,30.0,2.0
431,M,U,Private Sector,30,2,4,40.0,2.0
432,F,O,Public Sector,10,4,1,29.0,2.0
433,M,C,Private Sector,50,0,0,35.0,1.0
434,M,U,Public Sector,10,5,1,33.0,3.0
435,F,C,Unemployed,60,0,0,44.0,2.0
436,M,U,Unemployed,60,2,5,39.0,3.0
437,F,U,Private Sector,10,0,5,30.0,3.0
438,F,C,Public Sector,30,1,4,31.0,1.0
439,F,U,Public Sector,10,2,0,23.0,0.0
440,M,M,Public Sector,40,1,0,39.0,1.0
441,M,C,Private Sector,50,0,2,46.0,3.0
442,F,U,Unemployed,30,5,4,34.0,3.0
443,M,M,Public Sector,20,5,0,35.0,1.0
444,F,U,Private Sector,10,1,0,35.0,0.0
445,M,M,Unemployed,40,0,1,41.0,4.0
446,M,U,Private Sector,40,1,4,,
447,F,M,Private Sector,70,3,0,28.0,3.0
448,M,M,Public Sector,30,0,1,29.0,0.0
449,F,U,Self-employed,10,5,4,28.0,1.0
450,M,O,Private Sector,40,1,1,39.0,1.0
451,M,U,Public Sector,50,0,4,19.0,0.0
452,M,M,Private Sector,10,2,2,39.0,2.0
453,F,C,Self-employed,10,5,0,27.0,1.0
454,M,U,Public Sector,10,0,0,41.0,0.0
455,M,U,Public Sector,20,0,0,30.0,1.0
456,M,U,Self-employed,20,0,0,34.0,1.0
457,M,M,Self-employed,50,5,0,,
458,M,U,Unemployed,40,0,0,45.0,1.0
459,M,U,Private Sector,20,0,5,27.0,3.0
460,M,M,Public Sector,60,4,0,32.0,2.0
461,F,U,Public Sector,20,0,0,,
462,F,M,Public Sector,40,0,5,46.0,2.0
463,M,M,Private Sector,50,0,5,28.0,0.0
464,M,U,Private Sector,40,5,0,31.0,3.0
465,M,M,Private Sector,10,5,0,23.0,1.0
466,F,U,Public Sector,20,0,0,45.0,2.0
467,F,C,Public Sector,40,3,1,38.0,2.0
468,M,J,Private Sector,10,0,5,,
469,M,U,Private Sector,40,0,0,33.0,2.0
470,M,O,Public Sector,10,0,0,41.0,3.0
471,M,U,Private Sector,30,1,0,36.0,4.0
472,M,J,Private Sector,70,5,0,39.0,2.0
473,F,C,Public Sector,50,0,2,38.0,3.0
474,M,O,Unemployed,40,5,5,33.0,0.0
475,M,C,Private Sector,40,0,5,,
476,M,U,Private Sector,20,3,4,32.0,0.0
477,F,U,Public Sector,70,3,1,51.0,1.0
478,M,U,Unemployed,10,1,0,36.0,0.0
479,M,U,Self-employed,40,0,3,44.0,2.0
480,F,M,Public Sector,40,0,5,38.0,2.0
481,M,U,Private Sector,10,0,0,42.0,0.0
482,M,J,Private Sector,30,2,0,43.0,3.0
483,F,C,Public Sector,80,0,4,29.0,1.0
484,M,O,Public Sector,10,3,1,25.0,3.0
485,F,C,Unemployed,30,3,0,29.0,4.0
486,M,M,Public Sector,60,2,0,30.0,2.0
487,M,C,Public Sector,30,0,0,29.0,0.0
488,M,U,Public Sector,70,0,0,36.0,1.0
489,M,C,Unemployed,40,4,0,,
490,F,U,Private Sector,50,0,5,39.0,1.0
491,F,C,Private Sector,80,1,0,44.0,2.0
492,M,O,Public Sector,20,4,0,35.0,3.0
493,M,U,Self-employed,50,0,0,43.0,4.0
494,M,O,Public Sector,70,0,5,36.0,3.0
495,M,U,Private Sector,30,3,2,35.0,3.0
496,M,C,Private Sector,60,0,1,41.0,1.0
497,F,O,Unemployed,80,0,5,37.0,2.0
498,F,C,Self-employed,20,0,5,34.0,2.0
499,F,U,Public Sector,10,5,2,26.0,3.0
500,M,M,Public Sector,60,2,0,32.0,3.0
501,M,U,Unemployed,80,1,3,39.0,1.0
502,F,M,Self-employed,10,0,5,44.0,2.0
503,M,U,Self-employed,70,1,0,41.0,3.0
504,M,O,Unemployed,40,1,0,28.0,3.0
505,F,M,Private Sector,40,2,0,32.0,3.0
506,M,U,Public Sector,30,0,5,,
507,F,U,Private Sector,80,0,0,24.0,2.0
508,M,U,Private Sector,10,0,0,41.0,0.0
509,M,C,Public Sector,30,0,4,,
510,F,J,Unemployed,20,4,1,35.0,1.0
511,M,M,Private Sector,10,0,0,41.0,3.0
512,M,U,Public Sector,50,0,0,33.0,2.0
513,M,U,Self-employed,20,1,5,,
514,M,J,Private Sector,20,3,0,25.0,2.0
515,M,U,Unemployed,10,2,0,,
516,M,U,Self-employed,10,0,0,40.0,2.0
517,M,C,Private Sector,10,1,1,38.0,1.0
518,M,U,Public Sector,40,5,0,34.0,0.0
519,M,U,Public Sector,10,1,0,33.0,3.0
520,M,U,Unemployed,40,0,0,29.0,2.0
521,M,U,Self-employed,40,2,1,37.0,1.0
522,F,O,Private Sector,20,0,1,36.0,1.0
523,M,C,Private Sector,40,0,0,30.0,4.0
524,F,U,Unemployed,20,0,0,36.0,0.0
525,M,O,Private Sector,50,0,1,30.0,2.0
526,F,J,Self-employed,50,0,1,29.0,2.0
527,M,M,Private Sector,50,0,1,46.0,2.0
528,M,J,Public Sector,60,0,1,39.0,3.0
529,M,U,Self-employed,50,0,4,37.0,1.0
530,M,J,Private Sector,70,0,1,,
531,F,U,Private Sector,40,0,5,35.0,2.0
532,M,U,Self-employed,70,0,0,35.0,3.0
533,M,U,Private Sector,30,1,1,29.0,1.0
534,F,J,Private Sector,80,5,0,42.0,3.0
535,M,C,Public Sector,30,4,0,36.0,1.0
536,M,M,Unemployed,40,0,0,30.0,1.0
537,M,M,Private Sector,70,0,0,44.0,1.0
538,M,C,Private Sector,30,1,0,26.0,1.0
539,M,U,Public Sector,30,2,1,,
540,M,C,Unemployed,50,0,1,29.0,1.0
541,F,U,Unemployed,30,0,0,31.0,3.0
542,M,O,Private Sector,10,0,4,37.0,0.0
543,F,U,Private Sector,80,0,0,38.0,3.0
544,F,U,Unemployed,10,3,0,33.0,1.0
545,M,U,Private Sector,20,3,0,41.0,1.0
546,M,C,Self-employed,10,0,0,39.0,1.0
547,M,C,Unemployed,30,0,0,28.0,1.0
