loan_id,cust_id,loan_reason,requested_amount,payback_amount,installment,cat_number_accounts,cat_number_loans_accounts
222713,96,Personal,7000,9239.76,128.33,1,0
222710,97,Car,15000,19050.12,529.17,1,0
222707,98,Personal,10000,13200.12,366.67,1,0
222704,99,Car,15000,19050.12,529.17,2,0
222701,100,Car,7000,8889.84,246.94,1,0
222698,101,Personal,10000,13200.0,275.0,1,0
222695,102,Personal,12000,15840.0,330.0,1,0
222692,103,Car,25000,31749.840000000004,881.94,1,0
222689,104,Personal,7000,9240.0,192.5,2,0
222686,105,Financial,5000,6900.0,287.5,2,0
222683,106,Personal,10000,13200.0,275.0,1,1
222677,108,Personal,10000,13199.76,183.33,1,0
222674,109,Car,15000,19050.0,317.5,1,0
222671,110,Car,25000,31750.08,661.46,1,0
222668,111,Housing,15000,17250.239999999998,359.38,2,1
222662,113,Car,15000,19049.76,264.58,1,0
222659,114,Personal,12000,15840.0,440.0,1,0
222656,115,Car,7000,8889.84,246.94,3,0
222653,116,Personal,10000,13200.12,366.67,1,1
222650,117,Financial,7000,9659.88,268.33,1,0
222647,118,Housing,25000,28750.32,399.31,3,2
222644,119,Car,12000,15240.24,211.67,1,0
222641,120,Financial,7000,9659.88,268.33,2,0
222638,121,Financial,10000,13800.24,191.67,1,2
222632,123,Car,10000,12699.84,264.58,1,0
222629,124,Personal,10000,13199.76,183.33,1,0
222626,125,Personal,5000,6600.0,137.5,2,2
222623,126,Housing,12000,13800.0,575.0,1,0
222620,127,Housing,10000,11499.84,159.72,1,1
222617,128,Car,15000,19050.12,529.17,1,0
222611,130,Personal,10000,13200.0,275.0,1,1
222605,132,Housing,12000,13800.0,575.0,1,0
222599,134,Personal,4000,5280.12,146.67,1,0
222596,135,Car,10000,12700.079999999998,352.78,1,2
222593,136,Personal,15000,19800.0,550.0,3,0
222590,137,Housing,10000,11499.84,319.44,1,1
222587,138,Car,7000,8890.08,185.21,1,0
222584,139,Housing,10000,11499.84,239.58,1,0
222581,140,Car,7000,8890.08,370.42,1,0
222575,142,Car,15000,19049.76,264.58,1,0
222569,144,Car,10000,12699.84,264.58,2,0
222566,145,Housing,5000,5749.92,159.72,2,0
222560,147,Car,25000,31749.840000000004,881.94,1,0
222557,148,Personal,15000,19800.0,412.5,1,0
222554,149,Car,7000,8890.08,370.42,3,1
222551,150,Housing,4000,4600.08,191.67,1,0
222548,151,Personal,7000,9240.0,192.5,1,0
222545,152,Car,7000,8890.199999999999,148.17,1,0
222542,153,Car,12000,15240.0,317.5,3,0
222539,154,Personal,10000,13199.76,183.33,2,0
222536,155,Personal,10000,13200.0,275.0,3,1
222533,156,Housing,15000,17250.239999999998,359.38,1,0
222530,157,Financial,4000,5520.0,92.0,2,0
222527,158,Car,12000,15240.24,211.67,3,0
222521,160,Personal,12000,15840.0,440.0,1,0
222518,161,Car,10000,12699.84,264.58,2,0
222515,162,Housing,10000,11500.199999999999,191.67,2,0
222512,163,Car,12000,15239.88,423.33,1,0
222509,164,Car,4000,5079.84,105.83,1,0
222503,166,Car,25000,31749.840000000004,881.94,1,0
222500,167,Personal,12000,15840.0,330.0,1,0
222497,168,Car,7000,8889.84,246.94,1,0
222494,169,Car,25000,31750.08,661.46,1,2
222491,170,Car,7000,8890.08,185.21,1,0
222488,171,Car,15000,19050.12,529.17,1,0
222485,172,Personal,15000,19800.0,275.0,3,0
222482,173,Financial,10000,13800.24,191.67,1,2
222479,174,Housing,7000,8050.08,167.71,1,0
222476,175,Housing,10000,11499.84,239.58,1,0
222473,176,Car,10000,12699.84,264.58,1,1
222470,177,Car,15000,19050.12,529.17,1,0
222467,178,Car,15000,19050.12,529.17,2,0
222464,179,Housing,10000,11499.84,319.44,1,0
222461,180,Housing,10000,11499.84,239.58,1,1
222458,181,Car,7000,8889.84,246.94,1,0
222455,182,Car,10000,15240.24,211.67,1,0
222452,183,Housing,12000,13800.0,287.5,1,0
222449,184,Personal,7000,9240.0,385.0,3,0
222446,185,Car,25000,31750.199999999997,529.17,1,1
222443,186,Personal,15000,19800.0,412.5,2,0
222440,187,Car,10000,12700.079999999998,176.39,1,0
222437,188,Personal,15000,19800.0,412.5,1,2
222434,189,Car,25000,31749.840000000004,440.97,1,0
222431,190,Car,7000,8890.08,185.21,1,0
222428,191,Car,15000,19050.239999999998,396.88,3,1
222425,192,Car,2000,5080.2,84.67,1,0
222422,193,Financial,7000,9660.0,161.0,1,0
222419,194,Car,12000,15240.0,635.0,1,0
222416,195,Financial,10000,13800.24,191.67,1,0
222413,196,Financial,4000,5520.24,76.67,1,0
222410,197,Housing,7000,8050.08,167.71,1,0
222407,198,Personal,15000,19800.0,275.0,1,0
222404,199,Car,7000,8890.08,185.21,1,0
222401,200,Financial,7000,9659.88,268.33,1,1
222398,201,Housing,7000,8050.08,167.71,2,0
222392,203,Car,12000,15240.0,635.0,3,0
222389,204,Personal,7000,9239.76,128.33,1,0
222386,205,Financial,10000,13800.0,287.5,3,0
222383,206,Financial,10000,13799.88,383.33,2,0
222380,207,Personal,7000,9240.0,385.0,1,1
222377,208,Financial,7000,9660.0,201.25,1,0
222371,210,Car,4000,5080.32,70.56,2,0
222368,211,Housing,12000,13800.0,287.5,1,1
222365,212,Car,20000,25400.159999999996,352.78,3,0
222359,214,Car,7000,8889.84,123.47,3,1
222356,215,Housing,7000,8050.199999999999,134.17,1,0
222353,216,Car,10000,12700.079999999998,176.39,1,0
222350,217,Housing,7000,8050.08,167.71,1,0
222347,218,Car,15000,19050.239999999998,396.88,1,0
222344,219,Financial,4000,5519.88,153.33,1,0
222338,221,Financial,4000,5520.0,115.0,2,0
222335,222,Financial,10000,13800.0,287.5,1,0
222332,223,Car,7000,8889.84,246.94,1,0
222329,224,Housing,5000,5749.92,119.79,1,0
222326,225,Financial,10000,20700.0,345.0,1,0
222323,226,Housing,15000,17249.760000000002,239.58,1,0
222320,227,Car,7000,8889.84,123.47,1,0
222314,229,Personal,7000,9240.0,192.5,1,0
222311,230,Personal,10000,13200.0,275.0,2,0
222308,231,Car,12000,15240.0,317.5,1,1
222305,232,Housing,7000,8049.960000000001,223.61,1,2
222302,233,Car,10000,15240.24,211.67,1,0
222299,234,Car,7000,8889.84,123.47,2,0
222296,235,Car,7000,8890.08,370.42,1,0
222293,236,Personal,15000,19800.0,412.5,2,0
222290,237,Financial,7000,9660.0,161.0,1,0
222287,238,Car,10000,12700.079999999998,352.78,1,0
222284,239,Financial,15000,20700.0,575.0,1,0
222281,240,Personal,10000,13200.12,366.67,1,0
222278,241,Financial,10000,13799.88,383.33,1,0
222275,242,Housing,25000,28749.96,798.61,1,0
222272,243,Car,10000,19049.76,264.58,3,0
222269,244,Car,15000,19050.0,317.5,2,0
222266,245,Financial,5000,6900.12,191.67,1,0
222263,246,Personal,15000,19800.0,550.0,3,0
222260,247,Personal,10000,13200.12,366.67,2,0
222257,248,Personal,5000,6600.24,91.67,1,0
222254,249,Financial,4000,5520.0,115.0,1,0
222248,251,Personal,10000,13200.0,275.0,1,0
222245,252,Housing,12000,13800.24,191.67,2,0
222242,253,Personal,2000,5279.76,73.33,2,2
222239,254,Personal,10000,13200.0,220.0,3,0
222230,257,Personal,12000,15840.0,440.0,1,0
222227,258,Financial,15000,20700.0,287.5,1,0
222224,259,Car,7000,8890.08,370.42,1,0
222221,260,Car,5000,6349.92,132.29,1,0
222218,261,Car,15000,19050.12,529.17,1,0
222215,262,Car,4000,5080.08,211.67,1,0
222212,263,Personal,10000,19800.0,412.5,1,1
222206,265,Personal,15000,19800.0,330.0,1,0
222203,266,Personal,20000,26399.88,733.33,1,0
222200,267,Personal,7000,9240.0,192.5,1,0
222194,269,Personal,4000,5280.0,110.0,3,2
222191,270,Financial,15000,20700.0,287.5,1,0
222188,271,Personal,7000,9239.76,128.33,1,0
222185,272,Personal,15000,19800.0,412.5,1,2
222179,274,Personal,12000,15840.0,220.0,2,1
222176,275,Housing,15000,17250.239999999998,359.38,1,0
222170,277,Personal,4000,5279.76,73.33,1,0
222167,278,Car,10000,12699.84,264.58,1,0
222164,279,Housing,7000,8050.08,335.42,1,0
222161,280,Personal,15000,19800.0,275.0,1,0
222155,282,Car,15000,19049.76,264.58,2,0
222152,283,Housing,10000,11500.199999999999,191.67,1,0
222149,284,Housing,15000,17250.12,479.17,1,0
222146,285,Housing,15000,17250.239999999998,359.38,1,0
222143,286,Car,10000,12700.199999999999,211.67,3,0
222140,287,Housing,10000,11499.84,239.58,1,1
222137,288,Financial,10000,13799.88,383.33,1,0
222134,289,Personal,2000,5280.0,220.0,1,0
222131,290,Housing,7000,8049.960000000001,223.61,1,2
222128,291,Car,7000,8889.84,246.94,1,0
222125,292,Car,12000,15240.24,211.67,2,2
222122,293,Car,7000,8890.199999999999,148.17,1,0
222119,294,Personal,10000,13199.76,183.33,1,0
222116,295,Personal,10000,13200.12,366.67,2,0
222113,296,Car,25000,31750.199999999997,529.17,1,0
222110,297,Housing,12000,13800.0,575.0,1,0
222104,299,Personal,15000,19800.0,550.0,1,0
222101,300,Personal,7000,9240.12,256.67,2,1
222095,302,Personal,10000,13200.0,220.0,3,2
222092,303,Housing,25000,28749.96,798.61,1,1
222089,304,Car,15000,19050.0,317.5,1,0
222086,305,Car,2000,6349.92,132.29,1,0
222083,306,Car,7000,8890.199999999999,148.17,1,1
222080,307,Car,10000,12699.84,264.58,1,0
222077,308,Housing,10000,11499.84,239.58,2,0
222074,309,Financial,12000,16560.0,345.0,1,0
222071,310,Financial,7000,9660.0,201.25,1,0
222065,312,Financial,25000,34500.0,575.0,2,0
222062,313,Financial,12000,16560.0,690.0,1,0
222059,314,Car,10000,12700.079999999998,352.78,1,0
222056,315,Housing,12000,13799.88,383.33,1,0
222053,316,Car,7000,8890.199999999999,148.17,2,0
222050,317,Financial,15000,20700.0,345.0,1,2
222044,319,Financial,7000,9660.0,201.25,1,0
222038,321,Car,10000,12700.079999999998,352.78,1,0
222035,322,Car,10000,12700.079999999998,529.17,1,0
222032,323,Personal,10000,19800.0,550.0,2,0
222029,324,Financial,4000,5520.0,115.0,1,0
222026,325,Car,15000,19050.239999999998,396.88,1,0
222023,326,Car,25000,31749.840000000004,440.97,1,2
222020,327,Car,15000,19050.239999999998,396.88,3,1
222017,328,Car,4000,5080.32,70.56,1,1
222011,330,Car,10000,12699.84,264.58,1,2
222008,331,Car,10000,12699.84,264.58,1,0
222005,332,Personal,7000,9240.12,256.67,1,0
222002,333,Car,7000,8890.199999999999,148.17,1,0
221999,334,Personal,25000,32999.76,458.33,2,0
221996,335,Car,4000,5079.84,105.83,1,2
221993,336,Financial,25000,34500.0,718.75,2,2
221990,337,Personal,10000,13200.12,366.67,2,1
221987,338,Car,7000,8889.84,246.94,3,0
221984,339,Car,15000,19050.239999999998,396.88,1,0
221981,340,Financial,7000,9660.24,134.17,1,0
221978,341,Financial,20000,27600.12,766.67,2,0
221975,342,Car,7000,8889.84,123.47,2,0
221972,343,Personal,10000,13200.0,550.0,1,1
221969,344,Car,10000,12700.079999999998,176.39,2,0
221966,345,Personal,7000,9239.76,128.33,3,0
221963,346,Personal,7000,9240.0,154.0,1,1
221957,348,Car,7000,8890.08,370.42,3,0
221954,349,Personal,15000,19800.0,275.0,2,0
221951,350,Financial,10000,13800.24,191.67,1,1
221948,351,Housing,10000,11499.84,319.44,3,0
221945,352,Car,7000,8890.08,370.42,2,1
221942,353,Car,10000,12700.079999999998,352.78,1,0
221939,354,Personal,10000,15840.0,330.0,1,0
221936,355,Personal,10000,13200.0,275.0,1,0
221933,356,Housing,12000,13799.88,383.33,1,2
221930,357,Housing,5000,5749.92,159.72,1,0
221927,358,Personal,10000,13200.12,366.67,2,0
221924,359,Personal,7000,9240.0,192.5,1,1
221921,360,Personal,10000,13200.12,366.67,1,0
221918,361,Financial,7000,9660.0,402.5,3,0
221912,363,Car,7000,8889.84,123.47,1,0
221909,364,Financial,7000,9660.0,201.25,1,0
221906,365,Personal,10000,13200.12,366.67,2,2
221903,366,Car,12000,15240.24,211.67,1,0
221900,367,Financial,7000,9660.24,134.17,1,0
221897,368,Financial,10000,13800.0,575.0,1,0
221894,369,Car,7000,8890.08,185.21,1,0
221891,370,Car,10000,12700.079999999998,352.78,2,0
221888,371,Financial,7000,9659.88,268.33,2,0
221885,372,Personal,10000,33000.0,550.0,2,0
221882,373,Car,4000,5080.08,211.67,1,2
221879,374,Personal,7000,9239.76,128.33,2,0
221876,375,Car,4000,5080.32,70.56,1,0
221870,377,Financial,10000,13800.24,191.67,2,0
221864,379,Personal,15000,19800.0,275.0,2,0
221861,380,Personal,7000,9240.0,192.5,1,2
221858,381,Car,7000,8889.84,246.94,3,2
221855,382,Housing,5000,5749.92,119.79,2,0
221852,383,Financial,10000,13800.0,287.5,1,0
221849,384,Car,15000,19049.76,264.58,1,0
221843,386,Car,10000,12700.079999999998,176.39,2,0
221840,387,Car,10000,12699.84,264.58,1,0
221837,388,Financial,15000,20700.0,345.0,2,0
221834,389,Housing,15000,17250.12,479.17,3,2
221831,390,Housing,15000,17249.760000000002,239.58,1,0
221828,391,Personal,10000,13200.0,275.0,1,0
221825,392,Car,7000,8889.84,246.94,1,0
221822,393,Financial,15000,20700.0,345.0,2,1
221819,394,Car,25000,31749.840000000004,881.94,1,0
221816,395,Financial,12000,16560.0,460.0,1,0
221813,396,Personal,7000,9240.0,192.5,1,0
221810,397,Personal,10000,13200.0,275.0,1,0
221807,398,Car,7000,8890.08,185.21,1,0
221804,399,Car,10000,15240.24,211.67,1,0
221801,400,Car,5000,6349.92,132.29,1,0
221798,401,Housing,15000,17250.12,479.17,1,0
221795,402,Personal,10000,13199.76,183.33,2,0
221789,404,Financial,15000,20700.0,862.5,1,0
221786,405,Personal,12000,15840.0,220.0,1,0
221783,406,Financial,10000,13800.0,230.0,1,1
221780,407,Housing,10000,28749.96,798.61,2,0
221777,408,Car,7000,8890.08,185.21,1,1
221774,409,Personal,7000,9240.0,192.5,3,0
221771,410,Car,10000,12700.079999999998,529.17,1,0
221768,411,Financial,10000,13799.88,383.33,1,0
221765,412,Housing,12000,13800.24,191.67,1,0
221762,413,Car,4000,5079.84,105.83,1,0
221759,414,Car,15000,19050.0,317.5,3,0
221753,416,Financial,7000,9660.24,134.17,2,1
221750,417,Personal,7000,9240.0,154.0,1,0
221747,418,Personal,10000,13200.0,275.0,1,0
221744,419,Car,10000,12699.84,264.58,1,0
221741,420,Car,10000,12700.079999999998,352.78,1,1
221738,421,Personal,10000,19800.0,825.0,1,0
221735,422,Car,25000,31750.08,661.46,1,0
221732,423,Financial,7000,9660.0,201.25,2,0
221729,424,Personal,7000,9240.0,192.5,1,0
221723,426,Housing,4000,4600.08,63.89,1,0
221720,427,Car,12000,15240.24,211.67,1,0
221717,428,Car,5000,6349.92,264.58,1,0
221714,429,Housing,7000,8050.199999999999,134.17,1,0
221711,430,Car,25000,31749.840000000004,881.94,1,0
221708,431,Car,25000,31750.199999999997,529.17,1,2
221705,432,Personal,15000,19800.0,412.5,1,2
221702,433,Housing,15000,17250.239999999998,359.38,1,0
221699,434,Housing,10000,11499.84,239.58,1,0
221696,435,Personal,4000,5280.12,146.67,1,1
221693,436,Personal,12000,15840.0,660.0,1,0
221690,437,Car,12000,15240.0,317.5,1,0
221687,438,Car,10000,12700.079999999998,352.78,2,0
221684,439,Personal,10000,13200.12,366.67,1,0
221681,440,Housing,10000,11499.84,239.58,1,0
221678,441,Personal,10000,13199.76,183.33,1,0
221675,442,Housing,15000,17250.12,479.17,1,0
221672,443,Car,2000,5080.2,84.67,1,0
221669,444,Car,7000,8890.08,370.42,1,0
221666,445,Housing,10000,23000.16,479.17,2,0
221660,447,Personal,2000,5280.12,146.67,1,1
221657,448,Car,10000,19050.0,793.75,1,0
221654,449,Personal,20000,26400.0,440.0,1,1
221651,450,Car,25000,31749.840000000004,440.97,1,0
221648,451,Car,15000,19050.12,529.17,1,2
221645,452,Housing,10000,11499.84,319.44,1,0
221642,453,Car,25000,31749.840000000004,440.97,1,0
221639,454,Car,20000,25400.159999999996,705.56,2,0
221636,455,Car,7000,8889.84,246.94,1,0
221633,456,Personal,10000,13200.12,366.67,1,0
221627,458,Housing,10000,11499.84,239.58,3,0
221624,459,Financial,10000,13800.0,287.5,1,0
221621,460,Personal,10000,13199.76,183.33,2,1
221615,462,Housing,10000,28749.96,798.61,1,0
221612,463,Housing,10000,17250.239999999998,359.38,1,0
221609,464,Car,7000,8889.84,246.94,1,0
221606,465,Personal,10000,13200.0,275.0,2,0
221603,466,Housing,12000,13799.88,383.33,2,0
221600,467,Car,7000,8890.08,185.21,1,0
221594,469,Housing,7000,8049.960000000001,223.61,1,0
221591,470,Car,4000,5079.960000000001,141.11,1,2
221588,471,Financial,15000,20700.0,287.5,2,0
221585,472,Car,10000,12700.079999999998,352.78,1,0
221582,473,Car,10000,12700.079999999998,529.17,2,1
221579,474,Car,15000,19050.12,529.17,1,0
221573,476,Financial,7000,9659.88,268.33,1,0
221570,477,Housing,7000,8050.08,167.71,2,1
221567,478,Car,12000,15240.24,211.67,1,0
221564,479,Car,5000,6350.039999999999,176.39,1,1
221561,480,Car,10000,19050.0,793.75,3,0
221558,481,Car,10000,12700.079999999998,176.39,2,1
221555,482,Car,25000,31749.840000000004,881.94,1,1
221552,483,Housing,7000,8050.08,335.42,1,0
221549,484,Car,12000,15240.0,254.0,1,1
221546,485,Personal,7000,9239.76,128.33,1,0
221543,486,Financial,7000,9659.88,268.33,3,2
221540,487,Car,7000,8889.84,123.47,2,0
221537,488,Car,25000,31750.08,661.46,1,1
221531,490,Car,15000,19050.0,317.5,1,2
221528,491,Housing,7000,8050.08,167.71,1,1
221525,492,Financial,20000,27600.12,766.67,1,1
221522,493,Car,10000,12700.079999999998,529.17,1,0
221519,494,Personal,15000,19800.0,825.0,1,1
221516,495,Financial,15000,20700.0,575.0,1,2
221513,496,Car,10000,12700.199999999999,211.67,1,0
221510,497,Car,10000,12699.84,264.58,1,1
221507,498,Personal,7000,9239.76,128.33,1,0
221504,499,Personal,25000,32999.76,458.33,1,0
221501,500,Personal,10000,33000.0,550.0,1,0
221498,501,Personal,10000,13200.0,220.0,1,2
221495,502,Housing,10000,34500.0,718.75,1,0
221492,503,Car,7000,8889.84,246.94,1,2
221489,504,Housing,7000,8050.08,167.71,1,0
221486,505,Housing,10000,13800.0,287.5,1,1
221480,507,Financial,25000,34500.0,718.75,1,0
221477,508,Personal,7000,9240.0,385.0,1,0
221471,510,Personal,12000,15840.0,264.0,3,0
221468,511,Housing,10000,13799.88,383.33,1,0
221465,512,Housing,7000,8050.32,111.81,1,0
221459,514,Financial,10000,13799.88,383.33,1,0
221453,516,Car,12000,15240.0,317.5,2,0
221450,517,Car,10000,12699.84,264.58,1,0
221447,518,Housing,10000,11500.08,479.17,1,1
221444,519,Personal,12000,15840.0,330.0,1,0
221441,520,Housing,10000,11499.84,159.72,1,1
221438,521,Car,7000,8890.08,370.42,1,2
221435,522,Car,7000,8889.84,123.47,1,1
221432,523,Housing,7000,8050.08,167.71,2,1
221429,524,Housing,10000,11499.84,159.72,1,0
221426,525,Financial,12000,16560.0,690.0,1,0
221423,526,Car,7000,8889.84,246.94,1,1
221420,527,Financial,10000,16560.0,460.0,1,2
221417,528,Car,12000,15240.0,317.5,3,0
221414,529,Car,12000,15240.0,254.0,1,0
221408,531,Housing,20000,23000.16,479.17,1,1
221405,532,Car,15000,19050.12,529.17,1,0
221402,533,Personal,10000,13200.12,366.67,1,1
221399,534,Personal,12000,15840.0,220.0,2,1
221396,535,Housing,15000,17250.239999999998,359.38,3,0
221393,536,Car,10000,19050.0,317.5,1,2
221390,537,Housing,10000,17250.239999999998,359.38,1,0
221387,538,Personal,15000,19800.0,412.5,1,0
221381,540,Financial,15000,20700.0,287.5,1,0
221378,541,Car,25000,31749.840000000004,881.94,3,1
221375,542,Car,15000,19050.12,529.17,1,0
221372,543,Housing,7000,8049.960000000001,223.61,1,2
221369,544,Personal,4000,5280.12,146.67,1,0
221366,545,Personal,15000,19800.0,275.0,1,0
221363,546,Financial,10000,13800.0,287.5,1,0
221360,547,Financial,15000,20700.0,575.0,1,0
221357,548,Car,10000,19050.239999999998,396.88,1,0
221354,549,Personal,7000,9240.12,256.67,1,1
221351,550,Personal,7000,9240.12,256.67,2,0
221348,551,Personal,15000,19800.0,550.0,1,0
221345,552,Personal,7000,9240.0,192.5,2,1
221342,553,Personal,10000,13200.0,550.0,1,1
221339,554,Personal,10000,13200.0,550.0,1,0
221336,555,Personal,15000,19800.0,550.0,1,0
221333,556,Car,5000,6349.68,88.19,1,0
221330,557,Personal,20000,26400.24,366.67,2,0
221327,558,Car,7000,8890.08,185.21,1,0
221324,559,Car,20000,25400.159999999996,529.17,1,1
221321,560,Housing,25000,28750.08,598.96,1,0
221318,561,Car,7000,8889.84,123.47,1,0
221315,562,Car,10000,12700.079999999998,176.39,1,0
221312,563,Car,10000,12700.079999999998,352.78,1,0
221309,564,Car,12000,15240.0,254.0,1,0
221306,565,Personal,10000,13200.12,366.67,1,0
221303,566,Financial,15000,20700.0,431.25,1,0
221300,567,Car,10000,12699.84,264.58,1,0
221297,568,Car,7000,8889.84,123.47,3,1
221294,569,Housing,25000,28749.96,798.61,1,0
221291,570,Housing,12000,13800.0,287.5,1,0
221288,571,Financial,7000,9660.0,201.25,1,0
221285,572,Car,15000,19050.0,317.5,1,2
221282,573,Housing,7000,8050.199999999999,134.17,2,0
221279,574,Car,7000,8889.84,246.94,2,2
221276,575,Car,5000,6349.92,132.29,3,0
221273,576,Car,10000,12700.079999999998,176.39,1,0
221270,577,Personal,10000,13199.76,183.33,2,0
221267,578,Car,10000,12699.84,264.58,2,2
221264,579,Personal,12000,15840.0,660.0,1,0
221261,580,Housing,15000,17250.239999999998,359.38,1,0
221258,581,Housing,25000,28750.08,598.96,1,0
221252,583,Personal,5000,6599.88,183.33,1,0
221249,584,Car,10000,12700.079999999998,352.78,2,0
221246,585,Personal,7000,9240.0,385.0,3,0
221243,586,Car,12000,15240.0,317.5,1,0
221240,587,Housing,10000,11499.84,319.44,1,0
221237,588,Car,4000,5080.32,70.56,3,0
221234,589,Car,15000,19050.0,793.75,1,2
221231,590,Personal,7000,9240.0,385.0,3,0
221228,591,Financial,20000,27599.76,383.33,1,1
221225,592,Financial,15000,20700.0,287.5,2,1
221219,594,Housing,15000,17249.760000000002,239.58,1,0
221216,595,Personal,15000,19800.0,550.0,1,0
221210,597,Car,10000,12700.079999999998,176.39,1,0
221207,598,Personal,7000,9240.0,154.0,2,0
221204,599,Housing,7000,8049.960000000001,223.61,1,0
221201,600,Housing,25000,28750.08,598.96,3,0
221198,601,Car,7000,8889.84,123.47,1,2
221192,603,Personal,5000,6600.24,91.67,2,0
221189,604,Housing,2000,4600.08,127.78,1,1
221186,605,Car,12000,15240.0,317.5,2,0
221183,606,Housing,10000,11499.84,319.44,1,2
221180,607,Car,10000,25400.159999999996,705.56,1,0
221171,610,Personal,15000,19800.0,412.5,1,0
221168,611,Personal,25000,33000.0,687.5,1,0
