loan_id,cust_id,date,loan_reason,loan_term,requested_amount,installment,number_loans_accounts,number_accounts
222515,162,2018-08-01,Housing,60,10000,191.67,0,2
222512,163,2018-06-01,Car,36,12000,423.33,0,1
222509,164,2017-06-01,Car,48,4000,105.83,0,1
222506,165,2016-06-01,Housing,48,50000,1197.92,0,1
222503,166,2016-05-01,Car,36,25000,881.94,0,1
222500,167,2017-08-01,Personal,48,12000,330.0,0,1
222497,168,2016-07-01,Car,36,7000,246.94,0,1
222494,169,2017-03-01,Car,48,25000,661.46,2,1
222491,170,2017-07-01,Car,48,7000,185.21,0,1
222488,171,2016-05-01,Car,36,15000,529.17,0,1
222485,172,2018-01-01,Personal,72,15000,275.0,0,4
222482,173,2017-09-01,Financial,72,10000,191.67,2,1
222479,174,2016-12-01,Housing,48,7000,167.71,0,1
222476,175,2016-06-01,Housing,48,10000,239.58,0,1
222473,176,2018-12-01,Car,48,10000,264.58,1,1
222470,177,2018-12-01,Car,36,15000,529.17,0,1
222467,178,2018-02-01,Car,36,15000,529.17,0,2
222464,179,2018-10-01,Housing,36,10000,319.44,0,1
222461,180,2018-05-01,Housing,48,10000,239.58,1,1
222458,181,2018-09-01,Car,36,7000,246.94,0,1
222455,182,2018-08-01,Car,72,10000,211.67,0,1
222452,183,2018-01-01,Housing,48,12000,287.5,0,1
222449,184,2018-06-01,Personal,24,7000,385.0,0,3
222446,185,2018-11-01,Car,60,25000,529.17,1,1
222443,186,2016-03-01,Personal,48,15000,412.5,0,2
222440,187,2017-11-01,Car,72,10000,176.39,0,1
222437,188,2016-10-01,Personal,48,15000,412.5,2,1
222434,189,2018-05-01,Car,72,25000,440.97,0,1
222431,190,2017-09-01,Car,48,7000,185.21,0,1
222428,191,2018-10-01,Car,48,15000,396.88,1,5
222425,192,2016-04-01,Car,60,2000,84.67,0,1
222422,193,2016-11-01,Financial,60,7000,161.0,0,1
222419,194,2016-04-01,Car,24,12000,635.0,0,1
222416,195,2016-04-01,Financial,72,10000,191.67,0,1
222413,196,2016-04-01,Financial,72,4000,76.67,0,1
222410,197,2017-03-01,Housing,48,7000,167.71,0,1
222407,198,2017-06-01,Personal,72,15000,275.0,0,1
222404,199,2016-08-01,Car,48,7000,185.21,0,1
222401,200,2017-06-01,Financial,36,7000,268.33,1,1
222398,201,2017-07-01,Housing,48,7000,167.71,0,2
222395,202,2018-09-01,Car,24,25000,1322.92,0,1
222392,203,2016-08-01,Car,24,12000,635.0,0,3
222389,204,2016-03-01,Personal,72,7000,128.33,0,1
222386,205,2017-06-01,Financial,48,10000,287.5,0,3
222383,206,2017-01-01,Financial,36,10000,383.33,0,2
222380,207,2018-07-01,Personal,24,7000,385.0,1,1
222377,208,2018-12-01,Financial,48,7000,201.25,0,1
222374,209,2016-10-01,Housing,24,25000,1197.92,1,2
222371,210,2018-08-01,Car,72,4000,70.56,0,2
222368,211,2018-11-01,Housing,48,12000,287.5,1,1
222365,212,2018-08-01,Car,72,20000,352.78,0,3
222362,213,2016-01-01,Car,72,50000,881.94,0,2
222359,214,2017-12-01,Car,72,7000,123.47,1,3
222356,215,2018-07-01,Housing,60,7000,134.17,0,1
222353,216,2018-05-01,Car,72,10000,176.39,0,1
222350,217,2016-08-01,Housing,48,7000,167.71,0,1
222347,218,2018-11-01,Car,48,15000,396.88,0,1
222344,219,2016-01-01,Financial,36,4000,153.33,0,1
222341,220,2017-01-01,Car,72,50000,881.94,0,1
222338,221,2016-09-01,Financial,48,4000,115.0,0,2
222335,222,2016-01-01,Financial,48,10000,287.5,0,1
222332,223,2018-08-01,Car,36,7000,246.94,0,1
222329,224,2016-05-01,Housing,48,5000,119.79,0,1
222326,225,2016-11-01,Financial,60,10000,345.0,0,1
222323,226,2017-08-01,Housing,72,15000,239.58,0,1
222320,227,2018-02-01,Car,72,7000,123.47,0,1
222317,228,2017-04-01,Car,36,10000,1763.89,0,1
222314,229,2018-01-01,Personal,48,7000,192.5,0,1
222311,230,2017-07-01,Personal,48,10000,275.0,0,2
222308,231,2018-09-01,Car,48,12000,317.5,1,1
222305,232,2016-05-01,Housing,36,7000,223.61,2,1
222302,233,2017-10-01,Car,72,10000,211.67,0,1
222299,234,2017-07-01,Car,72,7000,123.47,0,2
222296,235,2018-12-01,Car,24,7000,370.42,0,1
222293,236,2016-06-01,Personal,48,15000,412.5,0,2
222290,237,2018-08-01,Financial,60,7000,161.0,0,1
222287,238,2016-10-01,Car,36,10000,352.78,0,1
222284,239,2016-08-01,Financial,36,15000,575.0,0,1
222281,240,2016-01-01,Personal,36,10000,366.67,0,1
222278,241,2016-05-01,Financial,36,10000,383.33,0,1
222275,242,2017-11-01,Housing,36,25000,798.61,0,1
222272,243,2016-02-01,Car,72,10000,264.58,0,3
222269,244,2017-05-01,Car,60,15000,317.5,0,2
222266,245,2018-08-01,Financial,36,5000,191.67,0,1
222263,246,2017-10-01,Personal,36,15000,550.0,0,3
222260,247,2016-08-01,Personal,36,10000,366.67,0,2
222257,248,2016-06-01,Personal,72,5000,91.67,0,1
222254,249,2018-10-01,Financial,48,4000,115.0,0,1
222251,250,2017-02-01,Car,72,30000,529.17,0,3
222248,251,2016-02-01,Personal,48,10000,275.0,0,1
222245,252,2016-08-01,Housing,72,12000,191.67,0,2
222242,253,2016-02-01,Personal,72,2000,73.33,2,2
222239,254,2016-01-01,Personal,60,10000,220.0,0,3
222236,255,2016-11-01,Financial,36,25000,958.33,0,1
222233,256,2018-08-01,Personal,72,30000,550.0,0,1
222230,257,2016-09-01,Personal,36,12000,440.0,0,1
222227,258,2017-07-01,Financial,72,15000,287.5,0,1
222224,259,2016-09-01,Car,24,7000,370.42,0,1
222221,260,2016-07-01,Car,48,5000,132.29,0,1
222218,261,2017-08-01,Car,36,15000,529.17,0,1
222215,262,2018-12-01,Car,24,4000,211.67,0,1
222212,263,2017-11-01,Personal,48,10000,412.5,1,1
222209,264,2016-10-01,Personal,36,10000,916.67,0,1
222206,265,2018-01-01,Personal,60,15000,330.0,0,1
222203,266,2018-12-01,Personal,36,20000,733.33,0,1
222200,267,2017-07-01,Personal,48,7000,192.5,0,1
222197,268,2018-05-01,Housing,24,20000,958.33,0,1
222194,269,2016-04-01,Personal,48,4000,110.0,2,4
222191,270,2017-08-01,Financial,72,15000,287.5,0,1
222188,271,2017-01-01,Personal,72,7000,128.33,0,1
222185,272,2016-07-01,Personal,48,15000,412.5,4,1
222182,273,2017-01-01,Financial,72,30000,575.0,0,2
222179,274,2018-04-01,Personal,72,12000,220.0,1,2
222176,275,2018-03-01,Housing,48,15000,359.38,0,1
222173,276,2017-10-01,Financial,36,25000,958.33,0,1
222170,277,2016-01-01,Personal,72,4000,73.33,0,1
222167,278,2016-01-01,Car,48,10000,264.58,0,1
222164,279,2018-12-01,Housing,24,7000,335.42,0,1
222161,280,2016-12-01,Personal,72,15000,275.0,0,1
222158,281,2017-02-01,Car,24,25000,1322.92,1,2
222155,282,2017-03-01,Car,72,15000,264.58,0,2
222152,283,2018-10-01,Housing,60,10000,191.67,0,1
222149,284,2017-11-01,Housing,36,15000,479.17,0,1
222146,285,2017-09-01,Housing,48,15000,359.38,0,1
222143,286,2018-05-01,Car,60,10000,211.67,0,4
222140,287,2016-10-01,Housing,48,10000,239.58,1,1
222137,288,2017-11-01,Financial,36,10000,383.33,0,1
222134,289,2016-06-01,Personal,24,2000,220.0,0,1
222131,290,2016-11-01,Housing,36,7000,223.61,2,1
222128,291,2018-05-01,Car,36,7000,246.94,0,1
222125,292,2016-12-01,Car,72,12000,211.67,3,2
222122,293,2018-07-01,Car,60,7000,148.17,0,1
222119,294,2016-05-01,Personal,72,10000,183.33,0,1
222116,295,2018-03-01,Personal,36,10000,366.67,0,2
222113,296,2018-06-01,Car,60,25000,529.17,0,1
222110,297,2016-11-01,Housing,24,12000,575.0,0,1
222107,298,2016-07-01,Financial,24,25000,1437.5,0,1
222104,299,2016-09-01,Personal,36,15000,550.0,0,1
222101,300,2018-01-01,Personal,36,7000,256.67,1,2
222098,301,2016-07-01,Car,72,30000,529.17,0,1
222095,302,2016-12-01,Personal,60,10000,220.0,2,3
222092,303,2016-07-01,Housing,36,25000,798.61,1,1
222089,304,2016-07-01,Car,60,15000,317.5,0,1
222086,305,2016-08-01,Car,48,2000,132.29,0,1
222083,306,2017-11-01,Car,60,7000,148.17,1,1
222080,307,2017-10-01,Car,48,10000,264.58,0,1
222077,308,2017-09-01,Housing,48,10000,239.58,0,2
222074,309,2017-09-01,Financial,48,12000,345.0,0,1
222071,310,2018-12-01,Financial,48,7000,201.25,0,1
222068,311,2016-03-01,Car,48,30000,793.75,0,2
222065,312,2017-02-01,Financial,60,25000,575.0,0,2
222062,313,2016-06-01,Financial,24,12000,690.0,0,1
222059,314,2017-08-01,Car,36,10000,352.78,0,1
222056,315,2016-08-01,Housing,36,12000,383.33,0,1
222053,316,2017-10-01,Car,60,7000,148.17,0,2
222050,317,2018-05-01,Financial,60,15000,345.0,2,1
222047,318,2018-07-01,Personal,24,30000,1650.0,1,1
222044,319,2016-03-01,Financial,48,7000,201.25,0,1
222041,320,2017-05-01,Housing,24,25000,1197.92,1,2
222038,321,2016-09-01,Car,36,10000,352.78,0,1
222035,322,2016-12-01,Car,24,10000,529.17,0,1
222032,323,2018-07-01,Personal,36,10000,550.0,0,2
222029,324,2017-12-01,Financial,48,4000,115.0,0,1
222026,325,2017-03-01,Car,48,15000,396.88,0,1
222023,326,2016-01-01,Car,72,25000,440.97,2,1
222020,327,2017-03-01,Car,48,15000,396.88,1,3
222017,328,2017-01-01,Car,72,4000,70.56,1,1
222014,329,2017-06-01,Personal,24,25000,1375.0,0,1
222011,330,2016-02-01,Car,48,10000,264.58,3,1
222008,331,2017-08-01,Car,48,10000,264.58,0,1
222005,332,2016-10-01,Personal,36,7000,256.67,0,1
222002,333,2016-02-01,Car,60,7000,148.17,0,1
221999,334,2017-02-01,Personal,72,25000,458.33,0,2
221996,335,2016-08-01,Car,48,4000,105.83,2,1
221993,336,2016-09-01,Financial,48,25000,718.75,2,2
221990,337,2018-10-01,Personal,36,10000,366.67,1,2
221987,338,2018-04-01,Car,36,7000,246.94,0,3
221984,339,2017-05-01,Car,48,15000,396.88,0,1
221981,340,2016-11-01,Financial,72,7000,134.17,0,1
221978,341,2016-10-01,Financial,36,20000,766.67,0,2
221975,342,2017-03-01,Car,72,7000,123.47,0,2
221972,343,2017-11-01,Personal,24,10000,550.0,1,1
221969,344,2017-10-01,Car,72,10000,176.39,0,2
221966,345,2018-02-01,Personal,72,7000,128.33,0,3
221963,346,2016-06-01,Personal,60,7000,154.0,1,1
221960,347,2017-06-01,Housing,60,30000,575.0,0,1
221957,348,2017-11-01,Car,24,7000,370.42,0,4
221954,349,2017-11-01,Personal,72,15000,275.0,0,2
221951,350,2016-01-01,Financial,72,10000,191.67,1,1
221948,351,2018-04-01,Housing,36,10000,319.44,0,3
221945,352,2016-03-01,Car,24,7000,370.42,1,2
221942,353,2017-01-01,Car,36,10000,352.78,0,1
221939,354,2017-05-01,Personal,48,10000,330.0,0,1
221936,355,2016-11-01,Personal,48,10000,275.0,0,1
221933,356,2016-06-01,Housing,36,12000,383.33,2,1
221930,357,2016-06-01,Housing,36,5000,159.72,0,1
221927,358,2017-01-01,Personal,36,10000,366.67,0,2
221924,359,2016-10-01,Personal,48,7000,192.5,1,1
221921,360,2016-11-01,Personal,36,10000,366.67,0,1
221918,361,2017-05-01,Financial,24,7000,402.5,0,3
221915,362,2018-04-01,Housing,24,25000,1197.92,0,1
221912,363,2018-09-01,Car,72,7000,123.47,0,1
221909,364,2016-10-01,Financial,48,7000,201.25,0,1
221906,365,2018-10-01,Personal,36,10000,366.67,2,2
221903,366,2018-06-01,Car,72,12000,211.67,0,1
221900,367,2016-07-01,Financial,72,7000,134.17,0,1
221897,368,2017-06-01,Financial,24,10000,575.0,0,1
221894,369,2017-12-01,Car,48,7000,185.21,0,1
221891,370,2017-09-01,Car,36,10000,352.78,0,2
221888,371,2018-05-01,Financial,36,7000,268.33,0,2
221885,372,2016-07-01,Personal,60,10000,550.0,0,2
221882,373,2016-12-01,Car,24,4000,211.67,2,1
221879,374,2017-02-01,Personal,72,7000,128.33,0,2
221876,375,2016-02-01,Car,72,4000,70.56,0,1
221873,376,2016-09-01,Car,24,25000,1322.92,0,1
221870,377,2018-12-01,Financial,72,10000,191.67,0,2
221867,378,2017-12-01,Housing,60,30000,575.0,0,1
221864,379,2017-04-01,Personal,72,15000,275.0,0,2
221861,380,2017-08-01,Personal,48,7000,192.5,2,1
221858,381,2016-07-01,Car,36,7000,246.94,3,3
221855,382,2018-09-01,Housing,48,5000,119.79,0,2
221852,383,2016-11-01,Financial,48,10000,287.5,0,1
221849,384,2016-08-01,Car,72,15000,264.58,0,1
221846,385,2016-10-01,Personal,36,25000,916.67,0,1
221843,386,2016-01-01,Car,72,10000,176.39,0,2
221840,387,2018-09-01,Car,48,10000,264.58,0,1
221837,388,2016-09-01,Financial,60,15000,345.0,0,2
221834,389,2017-01-01,Housing,36,15000,479.17,2,3
221831,390,2017-04-01,Housing,72,15000,239.58,0,1
221828,391,2017-06-01,Personal,48,10000,275.0,0,1
221825,392,2016-02-01,Car,36,7000,246.94,0,1
221822,393,2018-02-01,Financial,60,15000,345.0,1,2
221819,394,2018-10-01,Car,36,25000,881.94,0,1
221816,395,2018-06-01,Financial,36,12000,460.0,0,1
221813,396,2016-01-01,Personal,48,7000,192.5,0,1
221810,397,2016-08-01,Personal,48,10000,275.0,0,1
221807,398,2018-09-01,Car,48,7000,185.21,0,1
221804,399,2016-07-01,Car,72,10000,211.67,0,1
221801,400,2017-06-01,Car,48,5000,132.29,0,1
221798,401,2018-03-01,Housing,36,15000,479.17,0,1
221795,402,2016-07-01,Personal,72,10000,183.33,0,2
221792,403,2018-12-01,Car,24,50000,2645.83,0,2
221789,404,2018-04-01,Financial,24,15000,862.5,0,1
221786,405,2018-04-01,Personal,72,12000,220.0,0,1
221783,406,2017-06-01,Financial,60,10000,230.0,1,1
221780,407,2018-03-01,Housing,36,10000,798.61,0,2
221777,408,2016-03-01,Car,48,7000,185.21,1,1
221774,409,2016-11-01,Personal,48,7000,192.5,0,3
221771,410,2016-01-01,Car,24,10000,529.17,0,1
221768,411,2016-12-01,Financial,36,10000,383.33,0,1
221765,412,2017-06-01,Housing,72,12000,191.67,0,1
221762,413,2018-04-01,Car,48,4000,105.83,0,1
221759,414,2016-09-01,Car,60,15000,317.5,0,3
221756,415,2016-03-01,Financial,24,25000,1437.5,0,1
221753,416,2017-09-01,Financial,72,7000,134.17,1,2
221750,417,2018-03-01,Personal,60,7000,154.0,0,1
221747,418,2017-05-01,Personal,48,10000,275.0,0,1
221744,419,2017-02-01,Car,48,10000,264.58,0,1
221741,420,2017-07-01,Car,36,10000,352.78,1,1
221738,421,2016-06-01,Personal,24,10000,825.0,0,1
221735,422,2018-03-01,Car,48,25000,661.46,0,1
221732,423,2016-04-01,Financial,48,7000,201.25,0,2
221729,424,2016-07-01,Personal,48,7000,192.5,0,1
221726,425,2017-10-01,Financial,24,10000,1437.5,3,1
221723,426,2016-05-01,Housing,72,4000,63.89,0,1
221720,427,2016-12-01,Car,72,12000,211.67,0,1
221717,428,2017-10-01,Car,24,5000,264.58,0,1
221714,429,2018-09-01,Housing,60,7000,134.17,0,1
221711,430,2018-08-01,Car,36,25000,881.94,0,1
221708,431,2017-08-01,Car,60,25000,529.17,2,1
221705,432,2017-09-01,Personal,48,15000,412.5,3,1
221702,433,2017-06-01,Housing,48,15000,359.38,0,1
221699,434,2016-11-01,Housing,48,10000,239.58,0,1
221696,435,2016-06-01,Personal,36,4000,146.67,1,1
221693,436,2017-10-01,Personal,24,12000,660.0,0,1
221690,437,2018-06-01,Car,48,12000,317.5,0,1
221687,438,2016-10-01,Car,36,10000,352.78,0,2
221684,439,2016-09-01,Personal,36,10000,366.67,0,1
221681,440,2018-01-01,Housing,48,10000,239.58,0,1
221678,441,2017-05-01,Personal,72,10000,183.33,0,1
221675,442,2016-09-01,Housing,36,15000,479.17,0,1
221672,443,2017-02-01,Car,60,2000,84.67,0,1
221669,444,2016-08-01,Car,24,7000,370.42,0,1
221666,445,2016-07-01,Housing,48,10000,479.17,0,2
221663,446,2017-03-01,Financial,36,25000,958.33,0,1
221660,447,2016-05-01,Personal,36,2000,146.67,1,1
221657,448,2017-12-01,Car,24,10000,793.75,0,1
221654,449,2018-03-01,Personal,60,20000,440.0,1,1
221651,450,2016-01-01,Car,72,25000,440.97,0,1
221648,451,2016-04-01,Car,36,15000,529.17,2,1
221645,452,2018-04-01,Housing,36,10000,319.44,0,1
221642,453,2018-08-01,Car,72,25000,440.97,0,1
221639,454,2016-11-01,Car,36,20000,705.56,0,2
221636,455,2016-12-01,Car,36,7000,246.94,0,1
221633,456,2018-09-01,Personal,36,10000,366.67,0,1
221630,457,2016-02-01,Personal,36,10000,916.67,0,1
221627,458,2018-11-01,Housing,48,10000,239.58,0,3
221624,459,2017-05-01,Financial,48,10000,287.5,0,1
221621,460,2016-10-01,Personal,72,10000,183.33,1,2
221618,461,2018-10-01,Personal,36,25000,916.67,0,2
221615,462,2017-03-01,Housing,36,10000,798.61,0,1
221612,463,2018-11-01,Housing,48,10000,359.38,0,1
221609,464,2017-06-01,Car,36,7000,246.94,0,1
221606,465,2018-06-01,Personal,48,10000,275.0,0,2
221603,466,2017-01-01,Housing,36,12000,383.33,0,2
221600,467,2018-11-01,Car,48,7000,185.21,0,1
221597,468,2016-03-01,Personal,36,50000,1833.33,1,1
221594,469,2016-05-01,Housing,36,7000,223.61,0,1
221591,470,2016-04-01,Car,36,4000,141.11,2,1
221588,471,2017-04-01,Financial,72,15000,287.5,0,2
221585,472,2018-07-01,Car,36,10000,352.78,0,1
221582,473,2017-12-01,Car,24,10000,529.17,1,2
221579,474,2017-04-01,Car,36,15000,529.17,0,1
221576,475,2017-01-01,Car,36,30000,1058.33,0,1
221573,476,2016-03-01,Financial,36,7000,268.33,0,1
221570,477,2016-07-01,Housing,48,7000,167.71,1,2
221567,478,2016-07-01,Car,72,12000,211.67,0,1
221564,479,2017-09-01,Car,36,5000,176.39,1,1
221561,480,2017-02-01,Car,24,10000,793.75,0,3
221558,481,2016-07-01,Car,72,10000,176.39,1,2
221555,482,2017-12-01,Car,36,25000,881.94,1,1
221552,483,2018-08-01,Housing,24,7000,335.42,0,1
221549,484,2018-12-01,Car,60,12000,254.0,1,1
