loan_id,start_date,end_date
218771,2019-04-01,2019-05-01
218765,2018-03-01,2018-07-01
218762,2016-12-01,2017-03-01
218750,2016-11-01,2017-02-01
218747,2018-05-01,2018-08-01
218735,2019-03-01,2019-07-01
218726,2018-01-01,2018-04-01
218720,2017-01-01,2017-04-01
218717,2017-02-01,2017-06-01
218702,2017-06-01,2017-10-01
218696,2016-07-01,2016-10-01
218693,2016-08-01,2016-11-01
218675,2017-07-01,2017-08-01
218654,2019-02-01,2019-05-01
218648,2017-12-01,2018-01-01
218639,2017-04-01,2017-08-01
218636,2019-01-01,2019-03-01
218612,2016-09-01,2016-12-01
218609,2018-02-01,2018-04-01
218603,2018-01-01,2018-02-01
218591,2019-03-01,2019-04-01
218588,2017-08-01,2017-09-01
218585,2017-04-01,2017-05-01
218582,2016-12-01,2017-04-01
218576,2018-05-01,2018-06-01
218570,2017-12-01,2018-03-01
218567,2016-06-01,2016-07-01
218558,2019-04-01,2019-07-01
218555,2017-06-01,2017-10-01
218552,2017-07-01,2017-10-01
218549,2016-12-01,2017-03-01
218546,2017-07-01,2017-09-01
218543,2018-02-01,2018-04-01
218534,2017-12-01,2018-04-01
218531,2017-01-01,2017-05-01
218519,2018-03-01,2018-06-01
218513,2019-05-01,2019-06-01
218507,2017-02-01,2017-05-01
218504,2017-04-01,2017-07-01
218501,2018-09-01,2018-12-01
218498,2017-07-01,2017-10-01
218483,2017-03-01,2017-06-01
218480,2018-11-01,2019-02-01
218465,2018-10-01,2018-11-01
218456,2018-04-01,2018-07-01
218447,2017-07-01,2017-11-01
218444,2016-05-01,2016-07-01
218420,2017-05-01,2017-08-01
218414,2019-09-01,2019-12-01
218402,2018-01-01,2018-04-01
218399,2016-12-01,2017-01-01
218396,2017-05-01,2017-08-01
218387,2018-03-01,2018-06-01
218381,2018-06-01,2018-10-01
218375,2017-08-01,2017-09-01
218372,2016-12-01,2017-03-01
218369,2018-03-01,2018-07-01
218366,2018-06-01,2018-10-01
218363,2018-03-01,2018-06-01
218357,2017-02-01,2017-06-01
218351,2017-08-01,2017-11-01
218339,2017-11-01,2018-02-01
218336,2018-10-01,2018-12-01
218327,2017-02-01,2017-04-01
218324,2018-08-01,2018-09-01
218309,2017-09-01,2017-12-01
218297,2018-03-01,2018-07-01
218291,2018-11-01,2019-01-01
218285,2018-12-01,2019-01-01
218279,2016-11-01,2017-02-01
218273,2019-02-01,2019-05-01
218270,2018-05-01,2018-09-01
218261,2018-04-01,2018-07-01
218255,2019-09-01,2019-10-01
218237,2019-03-01,2019-06-01
218234,2016-08-01,2016-10-01
218228,2018-07-01,2018-09-01
218213,2018-09-01,2018-12-01
218210,2016-10-01,2017-02-01
218192,2016-10-01,2017-02-01
218186,2017-01-01,2017-05-01
218174,2017-05-01,2017-08-01
218171,2016-10-01,2017-01-01
218153,2018-11-01,2019-03-01
218150,2018-12-01,2019-02-01
218144,2019-01-01,2019-04-01
218141,2016-12-01,2017-03-01
218117,2017-07-01,2017-10-01
218108,2016-12-01,2017-03-01
218096,2016-04-01,2016-06-01
218087,2019-08-01,2019-12-01
218084,2019-01-01,2019-02-01
218078,2018-06-01,2018-08-01
218066,2018-05-01,2018-08-01
218060,2016-09-01,2016-12-01
218054,2017-11-01,2018-03-01
218051,2017-11-01,2017-12-01
218036,2017-06-01,2017-07-01
218033,2019-08-01,2019-11-01
218018,2016-10-01,2016-12-01
218009,2018-07-01,2018-08-01
218003,2017-10-01,2017-11-01
217994,2017-11-01,2017-12-01
217991,2017-08-01,2017-10-01
217988,2018-02-01,2018-03-01
217982,2016-12-01,2017-01-01
217976,2017-02-01,2017-05-01
217967,2017-11-01,2018-03-01
217964,2016-12-01,2017-01-01
217961,2018-11-01,2019-02-01
217955,2016-10-01,2016-12-01
217946,2018-07-01,2018-10-01
217937,2019-06-01,2019-10-01
217928,2017-03-01,2017-04-01
217925,2018-11-01,2019-02-01
217907,2018-05-01,2018-08-01
217898,2019-05-01,2019-06-01
217895,2016-10-01,2016-11-01
217889,2017-12-01,2018-03-01
217880,2017-09-01,2018-01-01
217877,2019-01-01,2019-02-01
217871,2018-01-01,2018-04-01
217868,2018-03-01,2018-06-01
217865,2018-01-01,2018-03-01
217859,2016-11-01,2017-01-01
217853,2018-09-01,2019-01-01
217844,2017-12-01,2018-01-01
217835,2018-07-01,2018-11-01
217826,2017-07-01,2017-08-01
217820,2017-05-01,2017-09-01
217811,2017-10-01,2017-11-01
217808,2018-02-01,2018-04-01
217805,2018-08-01,2018-12-01
217799,2017-02-01,2017-03-01
217790,2017-11-01,2018-01-01
217775,2018-10-01,2019-02-01
217760,2018-02-01,2018-05-01
217757,2016-03-01,2016-07-01
217751,2016-12-01,2017-01-01
217745,2017-07-01,2017-08-01
217742,2017-04-01,2017-07-01
217736,2016-08-01,2016-12-01
217733,2018-03-01,2018-06-01
217730,2017-04-01,2017-05-01
217727,2019-05-01,2019-09-01
217715,2017-07-01,2017-10-01
217712,2017-08-01,2017-12-01
217682,2017-04-01,2017-07-01
217655,2017-11-01,2018-03-01
217646,2016-05-01,2016-06-01
217643,2019-03-01,2019-07-01
217631,2017-11-01,2018-03-01
217625,2016-05-01,2016-06-01
217622,2018-07-01,2018-10-01
217616,2016-10-01,2016-11-01
217604,2018-12-01,2019-02-01
217595,2017-03-01,2017-04-01
217589,2018-07-01,2018-11-01
217586,2018-01-01,2018-04-01
217583,2018-10-01,2018-11-01
217562,2018-07-01,2018-08-01
217559,2018-10-01,2019-01-01
217547,2019-03-01,2019-06-01
217541,2018-08-01,2018-12-01
217538,2017-09-01,2017-10-01
217535,2017-10-01,2017-12-01
217529,2017-11-01,2018-01-01
217526,2018-06-01,2018-07-01
217517,2019-02-01,2019-04-01
217511,2019-01-01,2019-04-01
217508,2017-10-01,2017-11-01
217493,2018-07-01,2018-08-01
217490,2017-12-01,2018-02-01
217484,2018-05-01,2018-08-01
217475,2018-09-01,2018-12-01
217469,2017-05-01,2017-06-01
217463,2016-12-01,2017-01-01
217454,2019-04-01,2019-07-01
217424,2017-01-01,2017-04-01
217406,2016-11-01,2017-02-01
217400,2017-01-01,2017-05-01
217391,2018-08-01,2018-09-01
217376,2016-07-01,2016-11-01
217361,2017-12-01,2018-01-01
217334,2017-06-01,2017-10-01
217331,2018-05-01,2018-07-01
217319,2017-07-01,2017-11-01
217307,2017-04-01,2017-08-01
217298,2018-04-01,2018-05-01
217292,2016-11-01,2017-02-01
217286,2017-04-01,2017-08-01
217280,2017-03-01,2017-06-01
217268,2017-07-01,2017-10-01
217250,2019-02-01,2019-06-01
217241,2018-02-01,2018-03-01
217238,2019-02-01,2019-05-01
217229,2018-06-01,2018-09-01
217223,2016-12-01,2017-01-01
217214,2018-11-01,2019-01-01
217211,2018-06-01,2018-08-01
217208,2018-06-01,2018-07-01
217202,2018-02-01,2018-06-01
217199,2017-01-01,2017-02-01
217196,2017-01-01,2017-05-01
217193,2019-02-01,2019-05-01
217190,2016-07-01,2016-10-01
217187,2016-03-01,2016-06-01
217178,2019-04-01,2019-06-01
217160,2018-03-01,2018-07-01
217151,2018-09-01,2018-10-01
217145,2018-09-01,2018-10-01
217139,2017-03-01,2017-06-01
217136,2018-10-01,2018-12-01
217133,2016-09-01,2017-01-01
217115,2018-07-01,2018-10-01
217112,2017-12-01,2018-04-01
217100,2016-10-01,2017-01-01
217085,2018-07-01,2018-09-01
217082,2017-03-01,2017-06-01
217079,2016-11-01,2017-03-01
217076,2017-09-01,2017-11-01
217070,2018-05-01,2018-07-01
217067,2016-11-01,2017-02-01
217058,2017-05-01,2017-07-01
217055,2017-09-01,2018-01-01
217049,2018-12-01,2019-01-01
217046,2017-08-01,2017-12-01
217040,2017-05-01,2017-09-01
217037,2018-07-01,2018-08-01
217034,2017-08-01,2017-12-01
217031,2018-03-01,2018-04-01
217016,2017-09-01,2018-01-01
217010,2017-04-01,2017-07-01
217007,2016-07-01,2016-10-01
217004,2017-04-01,2017-07-01
217001,2016-07-01,2016-09-01
216998,2016-12-01,2017-04-01
216992,2016-05-01,2016-09-01
216983,2017-10-01,2018-01-01
216974,2016-11-01,2016-12-01
216950,2018-08-01,2018-12-01
216944,2018-07-01,2018-11-01
216935,2019-06-01,2019-10-01
216932,2018-08-01,2018-11-01
216923,2017-04-01,2017-08-01
216920,2018-01-01,2018-02-01
216917,2018-02-01,2018-04-01
216911,2019-08-01,2019-12-01
216908,2016-11-01,2017-03-01
216899,2016-10-01,2017-02-01
216890,2016-06-01,2016-09-01
216887,2019-02-01,2019-03-01
216881,2019-01-01,2019-03-01
216878,2016-10-01,2017-02-01
216869,2019-07-01,2019-11-01
216848,2018-05-01,2018-08-01
216836,2018-12-01,2019-04-01
216833,2019-06-01,2019-10-01
216827,2017-04-01,2017-05-01
216824,2017-10-01,2018-02-01
216818,2018-07-01,2018-08-01
216815,2017-12-01,2018-04-01
216809,2016-06-01,2016-08-01
216806,2017-10-01,2017-12-01
216797,2017-05-01,2017-07-01
216788,2016-06-01,2016-08-01
216782,2019-06-01,2019-07-01
216776,2018-12-01,2019-01-01
216764,2019-01-01,2019-05-01
216746,2016-12-01,2017-02-01
216734,2017-02-01,2017-06-01
216725,2018-11-01,2018-12-01
216722,2017-10-01,2018-02-01
216719,2019-07-01,2019-08-01
216707,2017-06-01,2017-10-01
216695,2016-12-01,2017-01-01
216689,2017-12-01,2018-04-01
216653,2017-08-01,2017-11-01
216644,2018-08-01,2018-09-01
216635,2017-05-01,2017-08-01
216623,2019-08-01,2019-10-01
216620,2018-12-01,2019-03-01
216617,2016-12-01,2017-04-01
216611,2017-02-01,2017-05-01
216605,2017-12-01,2018-04-01
216602,2018-09-01,2018-11-01
216584,2017-06-01,2017-09-01
216575,2018-08-01,2018-10-01
216572,2016-04-01,2016-08-01
