cust_id,gender,religion,employment,postal_code,birth_date,joined_ING_date,number_client_calls_to_ING,number_client_calls_from_ING
91,F,U,Self-employed,30,1981-01-01,2012-05-01,5,1
92,M,C,Private Sector,80,1987-08-01,2016-11-01,4,0
93,M,U,Unemployed,10,1985-01-01,2014-05-01,1,0
94,F,C,Private Sector,50,1983-02-01,2016-03-01,3,1
95,M,O,Public Sector,30,1981-01-01,2013-12-01,2,0
96,F,J,Unemployed,30,1986-01-01,2015-04-01,3,1
97,F,U,Unemployed,80,1988-02-01,2015-04-01,5,0
98,M,J,Unemployed,30,1984-09-01,2016-11-01,1,7
99,M,O,Public Sector,30,1989-02-01,2016-12-01,0,7
100,F,U,Public Sector,20,1983-12-01,2015-08-01,0,0
101,F,M,Private Sector,60,1987-12-01,2015-02-01,3,6
102,M,U,Public Sector,10,1986-09-01,2016-10-01,0,2
103,M,U,Public Sector,20,1979-10-01,2015-12-01,0,0
104,M,C,Private Sector,70,1983-12-01,2017-04-01,0,0
105,M,U,Unemployed,20,1979-10-01,2014-08-01,0,1
106,M,M,Private Sector,30,1988-09-01,2015-04-01,1,0
107,M,U,Unemployed,30,1981-01-01,2013-05-01,0,0
108,M,M,Private Sector,50,1989-09-01,2015-11-01,3,0
109,F,O,Private Sector,50,1978-12-01,2015-11-01,0,2
110,F,C,Unemployed,40,1982-10-01,2017-10-01,0,4
111,M,U,Public Sector,30,1982-02-01,2014-09-01,3,6
112,M,U,Unemployed,20,1987-11-01,2015-06-01,0,0
113,F,C,Private Sector,20,1988-08-01,2015-04-01,0,4
114,M,U,Public Sector,40,1985-03-01,2013-12-01,3,2
115,M,J,Private Sector,50,1985-07-01,2014-02-01,3,1
116,F,C,Public Sector,30,1993-06-01,2017-03-01,0,0
117,F,U,Private Sector,10,1977-11-01,2016-03-01,0,0
118,M,U,Private Sector,60,1983-09-01,2013-10-01,0,0
119,F,U,Public Sector,60,1974-05-01,2016-06-01,4,0
120,M,U,Private Sector,30,1988-08-01,2013-01-01,0,1
121,F,M,Private Sector,80,1979-06-01,2014-02-01,0,2
122,M,J,Public Sector,10,1976-12-01,2012-11-01,0,6
123,M,C,Self-employed,30,1990-07-01,2015-10-01,0,0
124,M,C,Public Sector,60,1983-04-01,2015-12-01,1,0
125,M,O,Unemployed,20,1969-05-01,2015-11-01,1,1
126,M,O,Public Sector,20,1981-12-01,2016-05-01,0,0
127,F,C,Unemployed,30,1981-08-01,2016-04-01,0,1
128,F,J,Public Sector,80,1981-05-01,2013-01-01,3,0
129,M,U,Unemployed,60,1979-01-01,2016-03-01,2,0
130,M,C,Self-employed,80,1993-02-01,2015-12-01,0,3
131,M,J,Private Sector,20,1984-10-01,2014-09-01,0,6
132,M,J,Self-employed,20,1990-10-01,2016-04-01,0,0
133,F,U,Public Sector,30,1980-11-01,2014-05-01,5,0
134,F,C,Public Sector,60,1980-08-01,2013-07-01,0,2
135,M,O,Public Sector,60,1984-08-01,2017-01-01,0,0
136,M,U,Private Sector,30,1986-07-01,2014-12-01,3,0
137,M,C,Public Sector,20,1985-07-01,2013-09-01,3,1
138,M,C,Private Sector,60,1989-04-01,2016-02-01,0,0
139,M,O,Private Sector,30,1990-05-01,2014-05-01,0,0
140,F,M,Private Sector,50,1971-06-01,2017-06-01,0,2
141,M,U,Unemployed,10,1981-08-01,2015-12-01,0,1
142,M,O,Public Sector,80,1983-03-01,2016-01-01,0,0
143,M,C,Public Sector,60,1982-07-01,2016-03-01,0,0
144,F,U,Private Sector,20,1975-07-01,2016-05-01,2,1
145,F,U,Private Sector,50,1986-09-01,2015-12-01,1,0
146,M,C,Private Sector,30,1992-05-01,2015-09-01,0,0
147,M,C,Self-employed,10,1980-07-01,2016-12-01,4,3
148,F,U,Private Sector,40,1980-06-01,2016-02-01,2,4
149,M,M,Private Sector,30,1985-04-01,2017-06-01,0,0
150,M,C,Private Sector,50,1988-08-01,2015-08-01,1,0
151,M,C,Unemployed,70,1986-12-01,2014-10-01,2,0
152,M,C,Public Sector,40,1995-05-01,2017-05-01,0,0
153,F,U,Public Sector,40,1983-12-01,2015-12-01,0,1
154,F,M,Public Sector,10,1989-04-01,2017-01-01,2,4
155,M,C,Public Sector,40,1984-05-01,2017-05-01,5,2
156,F,C,Private Sector,50,1975-04-01,2015-10-01,3,0
157,M,U,Private Sector,30,1983-05-01,2016-06-01,0,6
158,M,C,Public Sector,60,1994-06-01,2015-11-01,0,0
159,M,C,Public Sector,70,1988-07-01,2015-09-01,5,7
160,F,U,Private Sector,10,1982-10-01,2017-02-01,0,1
161,F,C,Self-employed,40,1981-06-01,2012-06-01,0,0
162,M,J,Public Sector,20,1973-08-01,2016-12-01,0,4
163,M,O,Private Sector,10,1981-06-01,2015-03-01,5,0
164,M,J,Private Sector,20,1986-06-01,2014-06-01,3,0
165,M,C,Private Sector,10,1984-06-01,2012-07-01,1,0
166,M,J,Self-employed,10,1991-05-01,2013-06-01,0,4
167,M,O,Private Sector,60,1977-08-01,2016-08-01,3,0
168,F,C,Public Sector,10,1982-07-01,2015-03-01,0,1
169,F,O,Public Sector,10,1994-03-01,2013-04-01,1,1
170,F,C,Private Sector,10,1977-07-01,2015-11-01,1,0
171,M,U,Private Sector,60,1975-05-01,2014-01-01,3,0
172,M,U,Private Sector,10,1991-01-01,2014-12-01,2,1
173,F,C,Unemployed,10,1985-09-01,2014-06-01,2,0
174,M,U,Private Sector,30,1968-12-01,2012-11-01,5,0
175,M,J,Private Sector,10,1969-06-01,2012-12-01,0,0
176,M,U,Public Sector,30,1975-12-01,2017-04-01,0,0
177,F,C,Unemployed,30,1980-12-01,2015-01-01,1,0
178,M,U,Private Sector,30,1978-02-01,2017-03-01,2,0
179,M,U,Public Sector,40,1991-10-01,2016-11-01,1,4
180,F,U,Unemployed,10,1980-05-01,2015-12-01,0,0
181,M,U,Unemployed,10,1974-09-01,2015-02-01,3,0
182,M,M,Private Sector,30,1977-08-01,2015-08-01,0,0
183,F,C,Public Sector,10,1970-01-01,2016-06-01,1,0
184,M,M,Self-employed,50,1982-06-01,2015-12-01,3,1
185,M,C,Self-employed,40,1986-11-01,2014-10-01,0,1
186,M,C,Public Sector,20,1976-03-01,2012-04-01,3,7
187,M,C,Public Sector,30,1985-11-01,2014-03-01,0,0
188,M,U,Public Sector,20,1978-10-01,2016-03-01,0,1
189,M,U,Public Sector,30,1985-05-01,2017-10-01,0,0
190,M,C,Private Sector,40,1984-09-01,2013-11-01,0,1
191,M,C,Public Sector,10,1988-10-01,2018-02-01,0,0
192,F,M,Unemployed,30,1976-04-01,2014-10-01,0,2
193,M,C,Private Sector,20,1989-11-01,2014-06-01,5,7
194,M,O,Public Sector,30,1985-04-01,2012-03-01,1,2
195,M,C,Self-employed,80,1989-04-01,2013-11-01,1,7
196,F,U,Unemployed,30,1989-04-01,2012-04-01,0,0
197,M,C,Self-employed,30,1986-03-01,2014-04-01,5,0
198,M,C,Unemployed,50,1975-06-01,2014-02-01,5,0
199,M,U,Public Sector,30,1984-08-01,2013-06-01,0,0
200,F,C,Public Sector,30,1978-06-01,2016-06-01,1,1
201,M,U,Public Sector,40,1985-07-01,2016-05-01,0,0
202,M,U,Private Sector,50,1977-09-01,2016-07-01,3,4
203,M,U,Self-employed,40,1984-08-01,2015-03-01,0,0
204,M,J,Unemployed,80,1969-03-01,2015-01-01,0,0
205,M,C,Private Sector,10,1976-06-01,2013-12-01,0,0
206,M,U,Private Sector,10,1969-01-01,2014-02-01,3,0
207,F,C,Self-employed,40,1973-07-01,2014-12-01,1,0
208,F,U,Unemployed,70,1987-12-01,2018-03-01,5,0
209,F,U,Public Sector,60,1980-10-01,2015-01-01,5,0
210,F,U,Private Sector,20,1985-08-01,2016-04-01,2,4
211,F,C,Public Sector,70,1980-11-01,2015-12-01,0,0
212,M,U,Public Sector,30,1977-08-01,2016-05-01,1,0
213,M,U,Private Sector,30,1982-01-01,2012-03-01,0,2
214,M,O,Public Sector,70,1982-12-01,2015-10-01,5,0
215,M,U,Public Sector,10,1984-07-01,2016-02-01,1,0
216,M,U,Private Sector,80,1992-05-01,2014-07-01,3,4
217,M,U,Unemployed,40,1980-08-01,2014-08-01,0,1
218,M,J,Private Sector,60,1991-11-01,2017-03-01,1,6
219,M,O,Private Sector,30,1973-01-01,2015-06-01,4,2
220,M,O,Public Sector,50,1983-01-01,2015-09-01,0,1
221,F,C,Private Sector,40,1979-09-01,2015-07-01,0,0
222,M,J,Public Sector,80,1989-01-01,2012-04-01,2,0
223,M,C,Public Sector,10,1992-08-01,2014-08-01,0,1
224,M,U,Private Sector,50,1978-05-01,2013-04-01,2,2
225,M,M,Unemployed,30,1971-11-01,2013-10-01,4,0
226,M,O,Self-employed,30,1977-08-01,2016-04-01,1,0
227,F,C,Private Sector,10,1979-02-01,2014-05-01,5,1
228,M,M,Public Sector,40,1976-04-01,2014-09-01,0,4
229,F,M,Public Sector,10,1979-01-01,2017-02-01,1,2
230,M,J,Private Sector,30,1985-07-01,2015-02-01,3,0
231,F,U,Private Sector,10,1989-09-01,2018-02-01,0,4
232,M,U,Public Sector,60,1982-05-01,2015-07-01,5,0
233,M,M,Unemployed,50,1985-10-01,2015-02-01,0,7
234,M,U,Private Sector,50,1989-07-01,2015-07-01,0,0
235,F,U,Private Sector,20,1986-12-01,2017-07-01,1,0
236,M,U,Self-employed,70,1978-06-01,2012-06-01,4,0
237,M,C,Unemployed,30,1987-08-01,2017-01-01,0,0
238,M,U,Private Sector,10,1979-10-01,2014-06-01,1,4
239,M,O,Unemployed,10,1972-08-01,2012-12-01,0,1
240,F,M,Public Sector,40,1979-01-01,2012-01-01,0,0
241,F,M,Private Sector,10,1976-05-01,2013-06-01,0,5
242,M,J,Public Sector,50,1985-11-01,2014-12-01,1,1
243,M,M,Unemployed,20,1975-02-01,2013-09-01,5,0
244,M,J,Public Sector,10,1986-05-01,2016-11-01,0,2
245,F,C,Public Sector,80,1983-08-01,2016-06-01,1,5
246,M,U,Public Sector,10,1987-10-01,2013-12-01,0,4
247,F,U,Public Sector,10,1979-08-01,2014-05-01,0,0
248,F,J,Private Sector,20,1991-06-01,2013-09-01,0,0
249,M,U,Self-employed,60,1979-10-01,2016-05-01,0,0
250,F,C,Public Sector,10,1978-02-01,2015-02-01,1,7
251,F,J,Unemployed,10,1986-02-01,2014-12-01,1,6
252,M,U,Unemployed,10,1985-08-01,2014-02-01,0,0
253,M,M,Public Sector,20,1980-02-01,2014-06-01,1,2
254,M,U,Private Sector,10,1985-01-01,2014-05-01,0,0
255,F,O,Unemployed,10,1982-11-01,2015-11-01,0,1
256,M,C,Self-employed,10,1988-08-01,2017-12-01,1,0
257,M,U,Public Sector,50,1976-09-01,2012-12-01,4,0
258,M,U,Public Sector,50,1990-07-01,2015-09-01,5,4
259,M,C,Private Sector,50,1977-09-01,2013-06-01,1,0
260,F,U,Public Sector,80,1981-07-01,2012-06-01,3,1
261,F,J,Public Sector,20,1991-08-01,2015-06-01,0,4
262,M,J,Public Sector,30,1983-12-01,2016-08-01,2,4
263,M,M,Public Sector,30,1980-11-01,2015-06-01,0,0
264,F,M,Unemployed,10,1979-10-01,2014-02-01,0,0
265,M,U,Private Sector,40,1977-01-01,2017-05-01,0,0
266,M,C,Self-employed,10,1987-12-01,2016-08-01,0,1
267,M,U,Unemployed,10,1975-07-01,2013-07-01,0,0
268,F,C,Unemployed,80,1984-05-01,2017-10-01,0,1
269,M,C,Public Sector,20,1980-04-01,2015-05-01,0,0
270,M,U,Unemployed,70,1983-08-01,2015-03-01,5,4
271,F,U,Self-employed,20,1987-01-01,2015-06-01,3,2
272,M,O,Public Sector,80,1983-07-01,2013-11-01,5,6
273,M,J,Public Sector,10,1967-01-01,2016-03-01,2,0
274,M,U,Self-employed,60,1986-04-01,2014-03-01,1,6
275,M,J,Public Sector,30,1974-03-01,2014-04-01,0,4
276,M,U,Unemployed,80,1982-10-01,2015-12-01,0,0
277,M,U,Public Sector,20,1985-01-01,2015-05-01,0,0
278,M,C,Unemployed,50,1987-01-01,2013-07-01,4,1
279,F,U,Self-employed,40,1982-12-01,2017-05-01,5,4
280,M,C,Private Sector,10,1980-12-01,2014-02-01,0,1
281,M,U,Unemployed,80,1983-02-01,2014-02-01,0,0
282,M,C,Public Sector,40,1980-03-01,2015-09-01,0,3
283,M,C,Private Sector,80,1976-10-01,2015-05-01,1,0
284,M,U,Public Sector,40,1988-11-01,2016-09-01,1,1
285,M,C,Private Sector,30,1986-09-01,2014-10-01,3,6
286,M,C,Self-employed,80,1987-05-01,2017-09-01,0,0
287,M,U,Private Sector,10,1984-10-01,2013-08-01,2,0
288,M,U,Unemployed,20,1981-11-01,2016-01-01,3,1
289,M,M,Private Sector,30,1992-06-01,2013-07-01,4,1
290,M,C,Private Sector,20,1976-11-01,2013-05-01,0,1
291,M,M,Public Sector,50,1982-05-01,2015-02-01,3,0
292,M,U,Public Sector,50,1984-12-01,2013-06-01,0,0
293,M,U,Private Sector,20,1985-07-01,2015-05-01,1,0
294,M,O,Public Sector,20,1975-05-01,2015-08-01,2,0
295,F,C,Public Sector,20,1976-03-01,2014-08-01,0,0
296,M,C,Unemployed,10,1980-06-01,2016-05-01,1,0
297,M,U,Public Sector,20,1972-11-01,2013-11-01,1,1
298,M,J,Self-employed,30,1982-07-01,2015-09-01,5,7
299,F,U,Private Sector,60,1977-09-01,2013-03-01,0,1
300,M,U,Private Sector,10,1987-01-01,2016-09-01,0,0
301,M,C,Public Sector,10,1976-07-01,2013-09-01,1,6
302,M,U,Public Sector,30,1983-12-01,2016-05-01,0,0
303,M,U,Private Sector,40,1991-07-01,2014-03-01,3,6
304,F,U,Private Sector,30,1979-07-01,2015-08-01,1,0
305,M,M,Private Sector,60,1985-08-01,2015-08-01,0,3
306,M,U,Private Sector,40,1979-11-01,2015-02-01,0,0
307,F,C,Private Sector,40,1983-10-01,2017-03-01,2,0
308,M,C,Public Sector,10,1991-09-01,2015-12-01,0,6
309,M,C,Unemployed,70,1970-09-01,2015-01-01,1,0
310,F,J,Public Sector,20,1969-12-01,2017-07-01,0,0
311,F,U,Public Sector,30,1977-03-01,2015-08-01,3,6
312,F,C,Public Sector,20,1983-02-01,2016-08-01,4,2
313,F,O,Private Sector,10,1979-06-01,2013-03-01,0,0
314,M,J,Public Sector,70,1993-08-01,2016-12-01,0,0
315,M,J,Private Sector,50,1984-08-01,2012-08-01,2,2
316,F,U,Unemployed,80,1981-10-01,2016-06-01,3,6
317,M,C,Private Sector,80,1982-05-01,2015-10-01,4,0
318,M,C,Private Sector,10,1989-07-01,2016-11-01,0,7
319,M,C,Unemployed,10,1964-03-01,2014-10-01,0,0
320,M,U,Unemployed,20,1977-05-01,2014-04-01,3,4
321,F,C,Private Sector,30,1985-09-01,2014-04-01,1,1
322,M,O,Unemployed,30,1980-12-01,2014-06-01,0,0
323,M,M,Self-employed,50,1978-07-01,2018-01-01,5,0
324,M,O,Private Sector,40,1986-12-01,2014-05-01,0,1
325,M,U,Private Sector,10,1979-03-01,2014-05-01,0,0
326,M,C,Self-employed,10,1981-01-01,2013-07-01,0,0
327,M,O,Public Sector,30,1984-03-01,2013-11-01,0,0
328,F,U,Private Sector,40,1977-01-01,2014-06-01,0,0
329,M,O,Public Sector,10,1987-06-01,2015-09-01,0,6
330,M,M,Private Sector,10,1985-02-01,2013-03-01,1,4
331,M,O,Self-employed,30,1982-08-01,2014-09-01,0,3
332,M,U,Unemployed,30,1983-10-01,2015-08-01,0,0
333,M,O,Private Sector,60,1989-02-01,2014-06-01,2,4
334,M,J,Unemployed,30,1984-02-01,2014-11-01,1,3
335,M,U,Private Sector,40,1985-08-01,2014-11-01,2,0
336,M,U,Private Sector,50,1985-09-01,2015-08-01,0,0
337,M,J,Private Sector,10,1995-10-01,2017-06-01,2,1
338,F,O,Public Sector,10,1983-04-01,2015-04-01,2,0
339,M,C,Unemployed,30,1979-05-01,2016-05-01,0,3
340,M,M,Public Sector,30,1980-11-01,2015-06-01,0,0
341,F,O,Public Sector,20,1968-10-01,2014-04-01,0,0
342,M,J,Unemployed,10,1970-03-01,2015-06-01,0,0
343,F,U,Private Sector,30,1981-11-01,2015-08-01,1,3
344,F,U,Private Sector,40,1973-10-01,2016-01-01,0,0
345,F,C,Unemployed,50,1983-02-01,2014-01-01,3,0
346,M,M,Public Sector,80,1984-06-01,2014-04-01,1,0
347,M,C,Unemployed,50,1991-06-01,2016-04-01,0,4
348,M,C,Public Sector,50,1988-11-01,2017-01-01,4,0
349,M,U,Private Sector,10,1984-11-01,2017-01-01,5,0
350,M,J,Public Sector,30,1986-01-01,2014-07-01,0,0
351,M,U,Private Sector,30,1979-04-01,2015-09-01,1,0
352,M,O,Private Sector,30,1980-03-01,2014-02-01,4,1
353,M,J,Self-employed,50,1987-01-01,2014-06-01,0,0
354,F,M,Unemployed,20,1983-05-01,2013-12-01,1,0
355,M,C,Private Sector,10,1975-11-01,2015-07-01,0,0
356,M,U,Unemployed,30,1969-06-01,2015-07-01,0,1
357,F,U,Private Sector,20,1980-06-01,2013-02-01,0,6
358,F,U,Unemployed,40,1981-01-01,2013-07-01,0,0
359,M,O,Self-employed,10,1989-10-01,2013-08-01,0,0
360,M,O,Public Sector,50,1982-11-01,2015-11-01,0,2
361,F,U,Self-employed,10,1989-05-01,2014-09-01,0,7
362,M,O,Private Sector,40,1993-04-01,2014-12-01,0,4
363,F,C,Private Sector,20,1976-09-01,2016-12-01,0,0
364,F,C,Private Sector,60,1979-10-01,2015-05-01,0,0
365,F,U,Public Sector,20,1975-10-01,2015-02-01,5,1
366,M,O,Unemployed,30,1990-06-01,2014-07-01,2,0
367,F,M,Public Sector,40,1970-07-01,2015-03-01,5,1
368,M,C,Self-employed,50,1979-06-01,2016-03-01,2,0
369,M,U,Public Sector,50,1986-12-01,2013-12-01,2,2
370,F,U,Private Sector,20,1979-09-01,2016-06-01,0,0
371,M,M,Private Sector,20,1985-05-01,2017-10-01,2,4
372,F,M,Private Sector,10,1976-07-01,2015-01-01,1,0
373,M,U,Unemployed,20,1980-12-01,2015-02-01,3,0
374,F,U,Unemployed,20,1981-02-01,2015-12-01,4,0
375,M,C,Public Sector,30,1984-02-01,2012-06-01,2,2
376,F,U,Unemployed,40,1985-09-01,2015-04-01,0,7
377,F,U,Private Sector,10,1984-12-01,2014-11-01,0,0
378,M,U,Private Sector,50,1978-12-01,2017-06-01,3,0
379,M,J,Private Sector,60,1987-04-01,2014-11-01,2,0
380,F,M,Private Sector,10,1982-08-01,2015-06-01,4,0
381,M,U,Unemployed,50,1978-07-01,2013-10-01,0,0
382,M,U,Public Sector,80,1989-09-01,2014-08-01,0,0
383,M,J,Private Sector,30,1981-11-01,2014-05-01,4,4
384,F,J,Private Sector,60,1984-08-01,2013-09-01,1,0
385,M,C,Public Sector,70,1981-10-01,2012-11-01,1,3
386,M,C,Private Sector,80,1981-01-01,2013-06-01,0,7
387,F,C,Public Sector,20,1991-09-01,2017-09-01,0,6
388,M,U,Public Sector,30,1983-09-01,2015-01-01,0,0
389,F,U,Private Sector,60,1972-01-01,2015-07-01,3,0
390,M,C,Self-employed,50,1970-04-01,2015-08-01,3,0
391,M,O,Public Sector,60,1983-06-01,2013-07-01,0,0
392,F,C,Public Sector,10,1983-02-01,2013-09-01,2,0
393,M,C,Private Sector,30,1975-02-01,2014-04-01,0,1
394,M,U,Public Sector,50,1986-10-01,2018-02-01,0,0
395,M,U,Private Sector,20,1986-06-01,2015-08-01,1,0
396,M,U,Public Sector,70,1975-01-01,2013-02-01,1,6
397,M,C,Private Sector,30,1988-08-01,2015-09-01,0,7
398,M,C,Unemployed,60,1982-09-01,2015-02-01,0,2
399,M,M,Private Sector,80,1992-07-01,2014-01-01,2,2
400,M,C,Public Sector,10,1982-06-01,2014-05-01,0,4
401,M,U,Private Sector,20,1989-03-01,2017-08-01,0,0
402,F,U,Self-employed,10,1988-07-01,2015-01-01,0,0
403,F,J,Private Sector,50,1973-12-01,2018-01-01,3,7
404,F,C,Self-employed,30,1988-04-01,2014-03-01,0,1
405,F,U,Private Sector,10,1986-04-01,2017-08-01,0,0
406,M,U,Private Sector,60,1985-06-01,2014-09-01,2,1
407,M,M,Self-employed,10,1996-03-01,2015-08-01,0,1
408,M,J,Private Sector,20,1986-03-01,2013-03-01,4,0
409,M,J,Self-employed,50,1978-11-01,2014-04-01,0,1
410,M,U,Unemployed,30,1978-01-01,2014-11-01,2,0
411,F,O,Public Sector,10,1986-12-01,2015-09-01,4,0
412,M,C,Private Sector,30,1977-06-01,2015-05-01,2,0
413,F,O,Private Sector,40,1987-04-01,2014-08-01,5,0
414,F,U,Unemployed,10,1981-09-01,2016-03-01,0,4
415,M,C,Private Sector,60,1975-03-01,2015-06-01,4,0
416,F,C,Private Sector,20,1981-09-01,2015-12-01,2,0
417,M,U,Private Sector,30,1987-03-01,2015-12-01,3,0
418,M,U,Unemployed,10,1988-05-01,2016-10-01,1,0
419,M,O,Public Sector,60,1992-02-01,2014-09-01,3,4
420,F,O,Public Sector,30,1987-07-01,2014-04-01,3,0
421,M,M,Private Sector,70,1978-06-01,2015-12-01,2,0
422,F,C,Private Sector,70,1977-03-01,2015-03-01,0,0
423,M,C,Public Sector,10,1967-04-01,2014-01-01,5,0
424,F,C,Private Sector,70,1973-07-01,2012-10-01,0,0
425,M,M,Unemployed,60,1978-10-01,2014-07-01,0,0
426,F,C,Public Sector,30,1976-05-01,2013-09-01,3,0
427,M,C,Self-employed,10,1980-12-01,2016-05-01,0,1
428,F,C,Private Sector,20,1981-10-01,2014-10-01,1,3
429,M,U,Unemployed,50,1976-09-01,2016-02-01,2,0
430,F,U,Private Sector,80,1988-08-01,2016-05-01,1,4
431,M,U,Private Sector,30,1977-08-01,2015-06-01,2,4
432,F,O,Public Sector,10,1988-09-01,2015-02-01,4,1
433,M,C,Private Sector,50,1982-06-01,2016-02-01,0,0
